Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,124,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,213,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,88,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,157,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,123,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,137,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,138,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,82,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,155,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,254,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,135,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,177,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,81,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,134,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,136,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,133,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,101,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,401,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,535,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,249,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,331,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,215,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,235,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,200,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,209,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,17,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,41,6,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,100,1,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,60,1,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,255,2,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,481,2,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,192,3,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,276,3,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,182,4,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,265,4,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,304,5,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,288,5,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,17,6,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,6,2
