Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,105,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,135,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,113,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,169,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,99,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,130,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,175,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,187,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,124,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,152,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,142,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,172,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,119,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,124,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,192,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,185,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,345,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,466,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,288,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,412,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,250,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,277,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,298,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,279,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,30,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,53,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,19,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,244,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,339,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,263,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,369,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,233,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,295,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,373,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,376,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,15,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,25,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,23,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,9,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,222,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,282,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,204,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,291,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,174,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,224,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,307,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,273,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,14,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,22,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,131,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,179,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,154,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,215,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,119,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,154,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,215,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,216,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,9,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,143,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,278,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,148,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,288,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,137,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,186,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,203,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,208,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,7,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,10,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,14,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,12,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,354,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,636,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,309,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,503,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,197,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,247,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,194,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,234,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,17,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,19,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,11,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,5,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,219,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,255,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,194,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,244,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,154,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,195,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,258,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,256,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,8,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,8,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,11,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,11,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,242,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,313,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,243,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,305,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,179,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,189,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,202,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,212,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,8,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,12,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,14,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,5,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,299,2,1
