Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,110,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,152,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,101,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,177,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,100,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,128,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,160,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,185,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,181,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,143,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,181,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,108,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,135,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,183,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,174,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,368,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,537,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,291,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,438,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,250,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,274,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,289,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,308,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,43,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,25,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,249,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,319,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,248,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,360,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,225,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,308,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,385,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,355,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,34,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,31,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,237,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,322,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,202,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,275,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,178,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,218,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,294,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,274,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,15,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,25,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,124,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,189,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,142,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,201,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,115,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,162,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,192,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,226,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,15,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,157,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,324,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,154,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,287,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,143,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,184,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,204,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,223,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,6,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,15,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,21,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,14,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,363,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,679,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,288,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,483,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,190,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,246,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,223,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,244,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,24,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,32,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,226,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,309,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,204,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,261,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,161,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,189,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,241,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,274,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,24,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,13,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,259,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,393,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,235,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,342,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,175,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,184,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,220,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,219,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,11,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,17,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,23,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,13,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,310,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,478,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,294,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,463,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,215,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,252,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,315,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,316,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,17,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,24,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,18,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,10,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,186,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,202,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,201,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,229,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,146,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,191,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,255,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,234,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,9,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,10,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,24,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,6,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,148,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,138,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,152,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,160,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,132,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,133,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,192,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,144,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,18,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,30,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,8,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,202,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,273,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,240,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,311,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,157,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,212,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,195,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,241,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,12,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,14,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,23,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,6,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,241,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,271,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,255,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,294,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,198,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,206,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,282,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,245,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,13,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,20,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,24,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,6,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,223,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,229,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,248,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,248,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,195,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,195,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,265,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,252,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,7,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,18,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,19,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,9,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,292,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,299,2,2
