Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,40,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,30,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,120,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,207,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,163,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,92,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,110,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,151,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,152,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,76,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,45,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,162,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,230,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,124,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,173,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,83,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,144,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,132,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,139,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,126,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,95,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,396,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,543,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,244,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,325,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,218,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,221,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,209,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,225,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,27,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,43,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,92,1,1
