Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,126,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,75,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,176,2,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,201,2,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,3,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,104,3,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,84,4,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,125,4,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,61,5,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,78,5,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,6,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,6,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,185,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,124,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,204,2,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,281,2,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,96,3,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,145,3,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,77,4,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,104,4,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,5,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,5,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,6,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,6,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,281,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,181,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,345,2,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,477,2,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,161,3,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,230,3,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,183,4,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,216,4,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,103,5,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,109,5,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,31,6,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,6,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,261,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,172,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,329,2,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,438,2,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,163,3,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,211,3,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,200,4,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,203,4,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,108,5,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,125,5,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,28,6,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,54,6,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,273,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,187,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,301,2,1
