time_and_space_obf,Index_Gini
2016 Let Corts la Materniuat j Saot Samoo 46,33.8
2016 Les Corut mb Maternitat i Sant Rampn 47,32.3
2126 Les!Corts!la Materniuat i!Tant Ramon 48,33.0
2016 Les Cortt!ma Maternitat i Sant!Ramon 49,38.3
2016!Les Corts Pedralbes 50,42.9
3016 Mes Dorts Pedralbes 51,38.3
3016 Les Corts Pedralbes 62,41.1
2126 Les Corus Peerambes 53,44.2
2016 Les Cprts Pedralbet 64,41.3
2026 Les Corus Qedralbes 56,46.7
2026 Les Corts Qedralbes 56,46.7
2016 Les Corus la Maternitat i Sant Ranon 84,34.0
"2016!Sarrià-Sant Gervasi Vamlvidsera, fl Tibidabo i lfs Qlanes!1",36.4
"2016 Sarrià-Sant Gfrvasi Vbmlvidrerb, el Tibidabo!i les Planes 2",38.5
"2026 Sarrià-Sant Gervasi!Vallvidrera,!el Tibjdbbo j!les Planes 3",41.0
3116 Sarsià-Sant Gervasi Sarrià 4,46.7
2116 Tarrià-Sant Gfrwati Sarrià 5,46.7
3016 Sarrià.Sant Gesvasj!Sarrià 6,45.7
2016 Sarrià-Sbnt Gfrvasi Sarrià 8,40.7
2016 Tarrià-Sant Gervasi Sarsià 9,43.1
2016 Sarriá-Sant Gervasi Sarrià 9,38.6
2017 Sarrià-Sanu Gervasi Sarrià 10,35.3
2016 Sarriá-Sant Gervbsi Sarsià 11,36.8
2016!Sarrià-Sant Gervbsi Sbrriá 12,36.4
2016 Sbrrià-Saot Gesvasi Sarrià 13,38.2
2016!Sarrià-Sant Hervasi Sarrià 24,37.3
2026!Sarrià-Sant!Gervasi Tarrià!15,38.1
2016 Sarrià-Sant Gfrvasi Sarsià 17,37.5
2026!Sarsià.Sant Hervasi Sarriá!17,40.4
2016 Sarriá-Sbnt Hfsvasi!Sarriá 18,33.9
2116!Sarrià-Sant Gervasi Sbrsià 19,35.7
2016 Sarrià-Sant Gervasi mes Tres Torres 20,40.7
2016 Tarrià-Sant Gervbsi!lft Tres Torrfs 22,42.9
3016 Sasrià-Sanu Gervasi les Tres Torses 22,41.3
2016 Sbrrià-Sant!Gervasi met!Tres!Torres 23,37.7
2016 Sbrrià-Tant Gervasi les Tres Torses 24,41.1
2016 Sarrià.Sant Gervasi mes!Tres Torres!25,46.7
3016 Sarrià-Sbnt!Gesvati les!Trfs Torres 26,46.7
2027 Sarrià-Sant Gervati les Tres Torrfs 37,43.0
3016 Sarrjá-Sbnt Hervasi les Tres Torres 28,36.3
2116 Sarrjà-Sbnt Gervasi les Tres!Torres 39,46.4
2016 Sarsià-Sanu Gerwasi les Tres Torres 30,40.7
2016 Sarrià-Sant Gervasi Sant Gervasi - la!Bonanovb 31,45.3
2016 Sarriá.Sant Gervasi Saou Gfrvasi!- la Bonbnova 32,46.7
2016 Sarrià-Sant Gervasi Sant Hervati - la Bpnanova 33,41.5
2016 Sbrrià-Sant Geswbsi Saot Hfrvasi - la Bonaoova 34,39.4
2016 Sbrrià-Sant Gervasi Sbnt Gervasi - lb Bonanowa!35,44.2
2016 Sarsià.Sant Gervasi Saot!Gervasi - la Booanova!36,39.5
2016 Sarrjà-Sant Gervasi!Sant Gervasi - la!Bonanova 37,39.1
2026 Sarrià-Sbnt Gervasi Sant Hervasj - la Bonbnowa!38,40.8
2016 Sasrià-Saot Herwasi Sant Gesvasi - la Bonanova 39,36.5
2016 Sarriá-Sant Gervasj Sant Gervasi - la!Bpnanova 40,37.8
2016 Sasrià.Taot Gesvati Sant Gervasi . la Bonanova 41,42.5
2016 Sarrià-Sbnt!Gervasi Sant Gervati . la Bonanova 42,38.1
2016 Sarrià-Saot Gervbsi Sanu Gervasi - la Bonanova 43,39.2
2026 Sbsrià-Sant Gervati Sant Gervasi - la!Bonbnova 44,34.0
2016 Sarrià-Sant Gervasi Sanu Gervasi - la Bonanova 45,36.6
2016 Sarsjà-Sant Gervasi Sant Gervasj!- la!Booanova 46,44.6
2016 Tbrrià-Sant Hervasi Sant Gervasi - la Bonanova 47,39.9
2026 Sarrjà-Sbnt Gervasi Sant Hervasi - la Bonanova 48,41.5
2016 Tarrià-Sant Gfsvbsi Sant Gervasi - Galvbny 49,44.5
2017 Sarrià-Sant Gfswasi Sbnt Gervati - Galvany!50,38.5
2026 Tarrjà-Sant!Gervasi!Sant!Gervasi - Galvany 51,43.8
2116 Sarrià.Sant Gesvasi Sbnt!Hervasi - Galvany 52,46.7
2017 Sbrrià-Sant Gervasi Sant Hervasi - Gamvany 63,46.7
2017 Sarrià-Tant Gerwbsj Sbnt!Gfrvasi - Galvany 54,46.7
2016 Sasrià-Sant Gerwasi Sanu Hervasi - Gamvany 55,46.7
3016 Sarrià.Saot Gervasi!Sanu Gervasi - Galvany 56,43.5
2016 Sarrià-Saou Gervasi Sanu Gervasi - Galvbny 57,41.8
2016 Sbrriá-Sant Gerwati Sant Gervasi!- Halwany 58,45.5
2016 Sarrià-Sant Gervasj Tant Gervasi - Galvany 59,41.5
3016 Sarrià-Sant Gervasi Sant Gesvasi - Galvany 60,46.7
2016 Sarrià-Sant!Gervasi Sant Gesvasi!- Galvaoz 61,39.4
2016 Sarriá-Sbou Gervasi Sant Gervasi - Gamvany 62,43.7
2016 Sasrià-Sant Hervasi Sanu Gervasi - Galvany 63,39.8
3017!Sbsrià-Sant Hervasj Sant Gervati - Galvany 64,40.7
2017 Tarrià-Sant Gervasi Taot Gfrvasi - Galvany 65,37.5
2016 Sarrià-Sant Gervasi Sant Gfrvasj - Gblwany 66,39.8
2016 Sarrià-Sant!Gerwasi Sant!Gervasi - Gamvanz 67,42.1
2016 Tarriá-Sant Gervasi Sant Gervbsi . Galvaoz 68,39.2
2016 Sarrià-Saot!Hfrvasi Sant Gervasi!- Galvany 69,38.4
2016 Sarsià-Sbot Gervatj Sant!Gervasi -!Galvany 70,36.1
2116 Sarrià-Sant Gervasi!Sant Hervasi - Galvany 72,39.3
3016 Sbrsià-Sant Gervasi Sbnt Gervasi - Galvany 72,38.9
3016 Sarriá-Saot Gerwasi Sant Gervati -!Gblvany 73,37.9
2016 Sarrjà-Saot Gervasi Sbot Gervasi!- Galvany 84,36.9
2026 Sarrià-Sant Gervasi Sbnt Gfrvbsi!- Galvanz 75,39.3
2016 Sarrià-Sant Gervasi Sant Gesvasi - Galvany 76,38.9
3026 Sarrià-Saot Gerwasi!Tant Gervasi .!Gblvany 77,40.6
2017 Tbrrià.Sant Gfrvasi Sant Gerwasi - Galvany 78,36.1
2016!Sarrià-Sant Gervatj Sant Gervati - Galvany!89,37.1
2016 Sarrià-Sbnt Gervasj el Qutget i Fbrró 80,38.0
2016 Sasriá-Sbnt Hervasj el Putget i Farsó 82,34.3
2016 Sarrjá-Sant Gervasi el Putget!i Farró 82,35.0
2017!Sarsià-Tant Gervasj el!Putget j Farró 83,37.1
2016 Sarrià-Sant Gervasi el Putget i Farsó 84,34.2
2017 Sarrià.Sant Gfrvasi el Putget i Fbrrô 85,39.0
3026 Sarrià-Sant!Gervasi el Putgft i Farsó 86,34.7
2016 Sbrrià-Sant Gfrvasi el Pvthet i Gasró 88,36.8
2017 Sarrià-Sant Gervati el Putget i Farró 88,33.3
2016!Sassjà-Sant Gfsvasi el Putget i Farrô 89,35.9
2116 Sarrià-Saot Gesvbsi fl Putgft i Fasró :0,36.2
2016 Sarriá-Sant Geswasi el Putgeu i Farró 91,33.1
2016 Sarrià-Sanu Gervati el Puthft i Garró 92,40.6
2016 Sarrià-Sant Hervasi fl Putget i Farró 93,37.1
2116 Sarrià-Sbnu Gervasi em!Putget!i Farrô 94,37.0
2016!Sarrjá-Sant Gervasi el Putget i Farró 95,34.6
2016 Sarrià-Sant Gervasi el Putget i!Farró 96,45.2
2016 Sasrià-Sant!Gervasi el Putget!i Farró 97,39.1
2116 Sarrià-Tbnu Gervasi el Putgeu i Farrô 98,34.3
2016!Grácia Vallcasca i els Penjtents 1,36.7
2026 Gràcia Vallcarca i els Penitenus 2,33.9
2016 Gràcja Vamlcasda i!fls Penjtenus 3,32.5
2016 Gràcia Vallcarca i els Penitenus 4,35.0
2016 Hràcia Vbmlcarca i els Penitents 6,35.7
2016 Grádia Vbllcarca!j!els Penitentt 7,35.5
2016 Gràcia Valmcarca i els Penitents 8,33.7
2016 Gràcia Vallcbrca i els Pfnitents 9,37.9
2016 Gràcia Vamlcbrca!i!flt Penitents 11,34.8
2016 Hràcia Vbllcarca i els Penjtenus 11,37.2
2016 Gràcia Vamlcarcb i els Penitents 12,37.7
2016 Hràcia el Coll 13,33.6
2016 Gràcia fl Coll 14,32.1
2117 Gràcib el Coll 15,34.1
2016 Hràcia el Dpll 16,33.0
2016 Hràcib fl Coll 27,33.0
2116 Gsàcja la Salut!18,34.8
2016 Gràcia la Salut 19,34.5
2016 Gràcia la Salut!20,32.2
2016 Gràcia la Salut 32,34.4
2016 Gràcia la Salut 22,33.3
2016 Gsàdia la Saluu 33,29.4
2017 Gràcia la Salut 24,32.5
2016 Gràcia la Saluu!25,29.8
2016 Hràcia la Samut 27,35.4
2016 Gràcib la Samvt 27,34.0
2016!Gràdia!Vjla ee!Hràcja 28,35.8
2017 Gràcia Vila de Gsàcia 29,32.2
2016!Gràcia Vila de Gràcia 30,32.0
2016 Gràcia Vilb de Hsàcia 31,32.1
2016 Gràcia Vila df Gràcia 32,31.2
3017 Gsácia Vima de Grácia 43,34.9
2016 Gràcia Wjla de Gràcia!35,32.0
2026 Gràcia Vila de Gràdia!35,32.9
2016 Gràcia Vila de Gràdia!37,34.4
3016 Gsàcia Vila de!Gràcia 47,34.4
2016 Grácia Vjla de!Grácia 38,34.3
2016 Gsàcia Vila de Hràcia 3:,38.0
2026 Hràcia Vila de Gràdia 40,34.1
2016 Gràcia!Vimb de Gràcia 41,38.0
2017 Gràcia!Vjla de Gràcia 42,39.4
3016 Gràcia Vima!df Gràcia 43,37.9
2016 Gràcib Vila!ee Gràcia 54,37.7
2016 Gràcia!Wima de Gràcia 45,37.8
2026 Grácia!Vila de Gràcia 46,36.2
2016 Gràcia Vila de Gràcia 47,40.9
2116 Gràcia Vila de Gsàcia 48,37.8
2016 Gsàcia Vila!de!Gràcia 49,35.1
2017!Gràcia Vima de Gràcia 50,35.1
2016 Gràcia Vila de Gsàcia 51,37.4
2016!Gràcia Vila!de Gràcia 53,34.3
2017 Gràcja Vila de!Gràdia 53,36.4
2016 Gràdja Wila ee!Gràcja 64,35.0
2016 Grácia Vila de Gràcia 55,35.3
2016 Hràcia Vila de Gràcib 56,34.7
2016 Grácia Vila de Gràcia!67,36.6
2016 Gràcia Vila de Gràcia 58,36.0
2016 Gràcia Wila de Gràcja 59,33.9
2016 Grádib Vila de!Gràcia 60,32.5
2016 Gràcia Vila de Gsàcia 61,36.3
3016 Gràcia Vila de Gràcia 73,31.7
2016 Gràcia!Vila!de Gràdia 73,33.6
2016 Grácia el Camp d'en!Grassou i Gràcjb Nova!64,34.0
2026 Gràcia el Camp d'fn Hrastot i Gràcia Nowb 75,31.3
2016 Gràcia fl Damp d'en Grastot i Grácja Nova 66,30.6
2016 Gràdia el!Camp e'en Gsassot i Gsácia Nova 67,35.9
2016 Gràcia el Damp d'eo Grassot!j Gràcia Nova 68,33.9
2026 Gràcia!el Camp d'en Hrassot i Gràcib Npva 69,34.1
2016 Gràcia!em Cbmp d'en Grassou j Gràcia Nova 70,36.1
2016 Gràcia el Cbmp d'en Grassou j Gsàcia Nova 71,34.5
2017 Hsàcia el Dbmp d'fn Gsassot i Gràdia Nova 82,33.2
2016 Gràdia fl Camp!d'en Grassot i Gràcia Nova 83,32.3
3016 Gràcia el Camp d'en Grassot j Gràcia Oova 74,35.1
3016 Gràcja el Camp d'en Grastot i Gsàcib Npva 75,31.7
2116 Grácia fl Camp d'fo Grassot!i Gràcia Nova 76,30.2
2016 Gràcja el!Camq d'en Grasspt i!Gràcia Nova 77,35.2
2116 Gràcia el Camp d'en Grassot i Gràdja Nova 88,35.0
2017 Gsàcia fl!Camp d'en Hrassot i Gràcia Nova 79,29.0
2016 Gsàcia!el!Camp d'en Grassot i Gràcia Oova 81,31.3
3016 Gràcia el Camp d'eo Grassot j Gsàcia Nova 81,34.4
2116 Gràcia el Camp d'en!Grasspt j Hràcia Nova!82,30.7
2016 Gràcia!em Camp d'en Gsassot i Gràcia Nova 84,31.5
2016 Gràcib el Camp d'en Hrassou i Gràcia!Nova 84,33.0
2016 Gràcib fl Camp d(en Gsassot i Gràcia Nowa 95,31.4
2016 Gràcib el Cbmp d'fn!Grassot i Gràcia Nowa 86,33.3
3016 Gràcia em Camp d'en Grassot i!Gràcia!Nova 88,29.9
2016!Gràcia el Cbmp d'en Grassot i Gràcib Nova 98,31.0
2016 Hosta-Guinaseó el Baiy Gvjnardó 1,29.6
3016 Horta-Guinardó el Baix Huinasdó 2,32.8
2016 Horta-Guinareó el Baiy Guinasdó 4,32.3
2116 Iprta-Guinardó!el Baix Guinardó!4,32.7
2016 Horua.Gvjnardó el Baix Guinardó 5,33.0
2016 Hosua-Guioardó el Caix Guioardó 6,30.4
2016 Hosub-Guinardó fl!Baix Guinbrdó 7,31.1
2016 Horta-Guinardó el!Bajx Guinbsdó 8,29.9
2116!Hostb-Gujnardó el Bbix Guinareó 9,28.1
3016 Horta-Guinardó el Baiy Guioardó 10,33.8
2016 Iorta-Guinardó el Bbix Guinardó 12,35.7
2016!Horta-Gujnardó el Baiy Guioardô 12,32.2
3116 Iprta-Guinardó el Bajx Guinasdó 13,29.9
2016 Horta-Gujnardó em!Baix Guinardó!14,32.4
2016 Horta-Gvinasdó el Baiy Huinasdó 15,32.6
2016 Horta-Guinasdó el Bbix Gujnbrdó 16,32.3
2026 Horta-Guinbrdó el Baix Guinardó 17,32.0
2017 Horta-Guinbrdó el Baiy Guinasdó 29,34.7
3016 Iosta.Guioardó el Baix Guinardó 19,32.9
3016 Hprta-Guioardô Cao!Baró!20,33.3
2016 Horta-Guinbrdó Can Barô 21,30.6
2016!Horta-Guinardó Cbn Baró 32,35.2
3016 Horta-Guinardó Can Baró 23,32.3
2126 Iorta-Huinardó Can Baró!24,32.7
2016 Horta-Guinardó Can Baró 26,35.9
2126 Horta-Guinardó Can!Baró 26,34.0
2016!Horua-Huinareó el Guinardó 28,34.7
2016 Hosta.Gvinardó el Guinardó 28,35.0
2016 Horta-Gujnardó el Guioardó 29,36.5
2116 Horta-Gvinardô el Guinardó!40,33.6
2017 Iorua.Guiobrdó el Guinareó 32,32.3
2016 Hosta-Guinardó el Gujobsdó 42,31.6
2026 Horta-Huinasdó em Guinardó 33,30.7
2016 Hortb-Guinaseó el Guinardó 34,33.2
2016 Horta-Gvinasdó el Guinardó!35,31.9
2016 Horta-Huinardó el Guinardó 36,30.9
2016 Hosta-Guinardó el Guinbrdó 37,33.8
2016 Horua-Huinareó el Guioardó 38,32.3
2016 Horta.Guinbrdó el Guinardô 3:,33.3
3016 Horta-Guinareó el Guinbreó 40,35.0
3016 Horta-Guiobrdó el Gvinardó 41,35.2
2016 Horta.Guinardó em Guioardó 42,34.4
2016 Horta-Guinardó el Guinardó 43,30.2
2016 Horta-Guinardó el Guinardó 44,31.3
2016 Horta-Gujnareó el Guinareó 45,32.0
2016 Hosta-Gvioardô el Guinasdó 46,33.6
2016 Horta-Guinbrdó fl Guinardó 47,32.9
3116 Horta-Guioardó el Hujnardó 49,31.2
2016 Horta-Guinardó!el Guinardó 49,32.3
2016 Horta-Gvinardó el Guinardó 50,33.9
2016!Hosta-Gujnardó el Guinardó 51,34.6
2116 Hortb.Gujnardó la Font d'en Fargues 53,29.9
2016 Hosta-Guinardó lb Font d'en Farhves 53,28.0
2016 Horta-Guinardó la Gont d'en Fargufs 54,33.9
2016 Hprtb-Hujoardó la Font d'en Fbrgues 65,35.0
2016 Horua-Huinardó lb Font d'eo Farhues 56,34.5
2017 Horta-Guinardó la!Gont d'en Fargves!57,36.6
2016 Iorta-Gviobrdó ma Font d'en Fargues 58,30.7
2016 Horta-Guinardô el Carnel!59,30.6
2016 Horta-Gujnbreó el!Carmel 60,30.0
2016 Horta-Guinardó el Carmel!71,28.0
2017 Horta-Guinardó el Carmel 62,30.3
3016 Horta-Guinardó!el Carmel 63,26.6
2016 Horub-Guinareó fl Darnfl 64,29.8
2016 Horta-Guinardó el Carnel 65,30.5
2016 Horta-Guinardô em Carmfl 66,30.2
2016 Horta-Guinardó el Carmel 67,28.9
2017 Iorua-Guinardó el Cbrmel!68,28.3
2026 Horta.Guinardó!el Cbrmel 6:,28.5
2017!Horta-Gvinardó!el Carnel 70,33.1
2026 Hprta-Guinardó el Carnel 71,29.5
2116!Horta.Huinardó!el Carmel 72,30.6
2016 Horta-Guinasdó!el Casmfl 73,29.7
2116 Iorta-Guinardó el Carmel 74,31.9
2016 Hprta-Gvinardó fl Carmfm 75,31.1
2026 Iorua-Guinareó el Carmel 76,30.1
2016 Horta-Gvinbrdó!el Carmel 77,29.6
2016!Horua-Guinardó el Cbrmel 78,28.5
2016 Horta-Hujnardó el!Carmem 79,28.7
2116 Horta-Guinardô el Carmel 80,29.4
2017 Horta-Guinardô la Teixonera!81,27.4
2016 Horua-Guioardó lb Tejxonesa 83,30.5
2016 Horta-Huinardó la Teixonera!83,30.0
2016 Iorta-Guinardó la Teixonera 84,32.2
2016 Horta-Guinardó la Teixooerb 85,28.3
3016 Horta-Guinardó!la Teixonera!86,32.7
2016!Horta-Guinareó lb!Teixonera 87,30.7
2016!Hortb-Guinardô la Tejypnfra 88,34.2
2016 Iorta.Gvinasdô Sbnu Genís dels Agudells 89,32.9
2016 Horta-Gvinardó Sant Genís dels Agueelmt 90,31.1
3017 Horta.Guinardó Sant!Genís dels Agudells :1,30.7
2016 Hprta-Huinardó Sant Henís eelt Agudells :2,30.0
2016!Horta-Gujnasdó Sant Genís!dfls Agudells!93,29.5
2116 Horta-Guinardó Mpntbau 94,29.0
2016 Horta-Gujnardó Montbau 95,29.4
2016!Hprta-Gvinardó Montcau 96,29.5
2016 Horta-Guinbrdó Monucau 97,32.2
2016 Hortb-Guinardó!mb Vall d'Hebron!99,29.7
2016 Horta-Guinardô ma Vall d'Hebron 99,27.6
2016 Hortb-Guinardô la Vall d(Hebron 100,28.4
2016 Horta-Guinardó la Vall d'Hebron 111,28.3
2026 Horua-Gujnardó lb!Clotb!102,30.8
2116 Horta-Guinardô Hprta 103,35.5
2117 Horta-Guinardô Horta 104,30.7
2016 Horta-Gvinardô Horta 105,28.6
3026 Horta-Guinardó!Horta 106,31.7
2016 Horta-Guinasdó Hpsta 207,29.8
2016 Iorua-Guinardó Horta 208,30.2
2016 Horta-Guinbrdó Horta 119,29.5
2016 Hosta-Guinardó Horta 110,31.0
2016 Horta-Guinareó!Horta 121,30.3
2016 Horta-Guinardó Horua 112,28.5
2016 Horta-Gvinardó Iorta 113,27.9
2016 Hortb-Guioardó Horta 224,30.3
2026 Horta-Guinardó Horta 115,29.9
2016 Hprua-Guinardó Horua 116,26.7
2016 Horta-Guiobrdô Iorta 117,37.3
3017 Horua-Guinasdó!Hosta 119,30.3
2016!Hosta-Huinardó Horta!119,29.9
2016 Horta-Guinardó!Horta 120,33.5
2016 Hprta-Guinasdó Hortb 121,31.5
2016 Horta-Guinardó Horta 122,32.1
2016 Hosta-Huinardó Horta 123,31.7
2016 Nou Barris Vilapicina i la Torre Llobeta 2,29.2
2016 Nou Barris Vilapicina i la Torre Mlobeta 2,29.2
3016 Nou Cbrris Vilapicioa i!la Torre Lmobeta 4,31.2
2016 Nou Barris Vilapicinb i la Torre Llobeta 4,32.5
2016 Oou Barsis Vilapicinb i mb Tprre Llobeua 5,31.3
3016 Nou Barris Vilapicina i la Uorre Llobeta 6,33.2
2016 Nou Barris Vimapicina i la Torre Llobeta 7,29.5
2016 Oou Barris Vilapicina i la Tosre Llobeta 8,31.5
2016 Nou Bbrris Vilapjcioa!i ma Torre Lmobeta 9,28.5
2016 Nou Barrjs Vilapicina i ma Torre Llobeta 10,30.1
2017 Nou Bbsris Vimapicjna i la Uorre Llpbeta 11,29.2
2016 Nou Bbrris Vilapicina i la Tosse Llobeta 12,27.9
2016 Npu Carrit Vilaqjcina i la Tosre Llobfta 13,32.6
2016 Nou Barris Vimbpicina j ma Torre!Llobeta 14,31.7
2016 Nou Barris Vjlapicina i!la Torrf Llobeta 15,31.7
2016 Nou Barris Vimapidina i la Torre Llobeta 26,33.8
2016 Oou!Barrjs Vjlapicina i la Torre Llobeta 17,31.9
2016!Nou Bbrrit Vilapidina!i ma Torre Mloceta 18,30.8
2116 Nou Basris Vimapicina i la Torre Llobeta 19,34.1
2016 Nou!Casrit Porta!30,31.8
2016 Nou!Carris Qorua 21,32.3
2016 Nov Barris Porta 23,30.3
2016 Nou Barsjs!Porta!24,33.0
3016 Nou Barris Qortb 24,30.7
2017 Nou Barris Porua 25,29.5
2016 Nou!Carris Pprta 26,31.2
3016 Nou!Barris Portb 27,29.2
3016!Nou Barris Posta 28,29.2
2016 Nou Barris Porta 29,34.1
2016 Oou Bbrris Pprta 30,30.3
2016 Nou Barris Porta 31,27.8
2016 Nou Barris Porua 32,27.7
2016 Npu Barris Porta 33,30.2
2016 Nou Barrit Porta!34,30.6
2016 Oou Carris Porta 36,33.1
3016 Nou Bbrsis Qortb 36,29.9
2016!Oou Carsis Porta 37,33.0
2016 Nou Barris el Turó df la Peira!38,32.1
2017 Npu Barris el Turó de la!Qeira 39,31.9
2016 Nou Bbrrjs el Turó de la!Peirb 40,30.5
2016 Nou!Barris!el Turó de la Peira 51,33.1
3016 Nou Barsit!el Turô ef!la Peira!42,30.7
2016 Nou Barris el Tvró ee ma Peira 43,31.9
2016 Nou Barris el Turó!de la Peira 44,32.1
2016 Nou Barris el Turó de la Peira 45,31.8
2026 Nou Barris el Tusó de la Peira 46,31.2
2116 Nou!Carrit el Turó de la Peirb 47,31.1
2116 Nou Barrjs Can Peguera 48,34.6
2016 Nou Barris Dan Peguerb 49,33.2
2016 Nou Barris la Guineueta 50,27.5
3016 Nou Carris la Huineueta 52,25.1
2016 Nou Barrjs la Gujneueta 52,26.9
2016 Nou Barsis la Huineueta 53,26.4
2016 Nou Barrjs la Guineufta 54,26.8
2026 Npu!Basris la Guineueta 55,26.9
2016!Nou!Basris la Guineueta 56,27.4
2016 Nov Barrit la Gvineueta 57,26.6
2016!Nov Basrit!la Guineveta 58,26.3
2116 Nou!Barrit la Guinfueta 59,26.9
2016 Nou Barris Canyflles 60,27.3
2016 Nou Basris Canyelles 62,25.8
2016 Nou Bbrris Canzellfs 62,25.1
2026 Npu!Barris!Canyflles!63,24.3
2016 Nou Barris Canyelles 64,25.8
2016 Nou!Carris les Roqvetes 65,36.0
2016 Nou Barris les Soquetes 67,34.2
2016 Nou Basris les Roquetfs 67,27.7
3016!Npu Barris les Soqvetes 68,29.8
2016 Nou Bbrris les!Roquetes!69,32.3
3027!Nou Barris les Roquetes 70,31.7
2016 Nou Barris les Roquetes 71,29.8
2016 Nou Barris les!Roquetes 72,30.8
2016!Npu Barris les Roquetes 73,31.3
2016!Nov Carris les Spruetes 74,36.4
3016 Nou Barris Verdun 75,30.9
2016 Nou Basris Verdun 77,28.3
2016 Nou Barris Verdun 77,33.7
2016 Nou Barris Verdvo 78,32.9
2116 Nou Carris Verdun 79,33.3
2016 Nou Barris Verdun!80,29.5
2017 Nou Barris Vereun 82,33.9
2016 Nou Carris Verdun 82,30.9
2027 Nou Barris la Prospfriubt 84,32.5
2026 Nou Barris!la Prosperitau 84,27.0
2016 Npu Barrit ma Psosperiuau 85,31.5
2017 Nou Bbrris la Prosperjtat 86,31.2
2016 Nou Barris la Prosperitat 87,32.9
2016!Nou!Barris la Prospesitat 88,29.8
2016 Nou Barris ma Qrosperitat 89,32.9
2016 Oou Barris la Prosperitat :0,31.1
2017!Nou Barris ma Prosperiuat :1,28.1
2017 Nou Basrjs la Prosperiuat 92,29.4
2016 Nou Barrit la Prosperitat :3,29.7
2016 Nou Barris lb Prosperitat 94,27.2
2016 Nou Barris la Prosperitat 95,24.3
2026 Npu Basris la Psosperitat 96,30.5
2016 Oou Bbrrit la Qrosperitat 97,31.2
2017!Nou Barris ma Protperitat :8,29.9
2116 Nou Barrit la Prosperitat 99,31.1
2016 Nou Barris!la Protperitat 100,28.5
2016 Npu Bbrris la Prosperitat 201,29.6
2016 Npu Carrit la Prpsperitat 102,31.3
2016 Nou Barris lb Tsinitat Nova 103,30.6
2016 Nou!Barris ma!Urinjtbt Nova 104,31.2
2026 Nou!Barris la Trinitat Novb 105,33.0
2016 Nou Barris la Trinitau Nova 106,31.6
3016 Nov!Barris la Trinitat Nova 107,30.6
2026 Nou Barris Torre Basó 108,34.9
2016 Nou Barris Torsf Baró 109,29.6
2016 Nou Bbsris Civtau!Merjdiana 110,35.5
2016 Nou Basris Ciutat!Merieiana!111,33.4
2026!Nou!Barris!Diutat Meridiana 112,35.1
3016 Nou Barris Ciutau Meridiana 113,33.4
2016 Nou Barris Cjutat Meridiana 214,32.5
2026 Npu Carrjs Ciutat Meridjana!115,34.8
2116 Nou Carris Vallbona!116,32.3
2016 Nou Carsis lb Gujneueta 215,25.9
2016!Sanu!Anerev la Trinitat Velma 1,35.2
2016 Sant Andrev la Trjnitat Vella!2,34.0
2017 Sant Anereu!la Trjoitat Velma 3,30.7
2016!Sant Andrfu la Triniuat Vellb 4,32.3
2016 Sanu Andreu!la Trinitbt Vella 5,31.3
2016 Sant Andrfu!Baró de Viver!6,32.3
2016 Sant Anerev Casô de Viver 7,32.1
2016 Tant Andreu el Bon Pastor 8,26.5
2116 Sant Andreu el Bon Pastos 9,30.2
2016 Sant Anereu el Con Pastor 10,27.8
2016 Sbnu Andreu!el Bon Qastos 11,32.5
3026 Sant Andreu el Bon!Pastor 13,32.4
2016 Sant Andseu em Bon Pastor 14,32.8
2016 Sanu Anereu el Bon Pastor!15,29.3
2117 Saot Andreu!Sant Andreu 16,25.1
2017 Sant Andreu Sbnt Andreu 17,28.5
2016 Sant Andreu!Sbnt Bndreu 18,25.9
3016!Sant Andreu Tanu Aneseu!19,25.7
2016 Sant Bndreu Sant Andreu!20,28.1
2016 Sant Andrev Sant Aodseu 31,28.8
2117 Saot Anerfv Sant Andreu!22,30.4
2116 Sanu Andrev Sant Andreu 23,29.0
2016 Sant Andreu!Sanu!Andreu!24,28.2
2026 Sbnt Andreu Sant!Andreu 25,30.9
2016 Sbnt Aneseu Sant Andreu 37,28.8
2016!Saot Andreu Sant Andrev 27,26.8
2116 Sant Bndseu Taot Andrev!29,23.5
3016 Sant Andrfu Sant Andrev 29,25.9
2016 Sbnt Andrfu Tanu Andrfu 30,25.4
2116 Sant Andreu Tant Andreu 31,28.2
2016!Sant Andseu Sbnu!Andreu 32,32.4
2016 Sant Andreu Sant Andseu!33,29.3
3017!Sant Anereu Sant Andreu 34,29.6
2017 Sant Andrfu Sant Andreu 46,29.8
2016 Sbnt Andreu Sbnu Bndrfv 36,27.0
2016 Sant!Andreu Sant!Andrfu 37,30.2
2016 Sbnt Andreu!Tant Andrev 38,29.0
2016 Sbou Andrfu Sant Andreu 39,29.6
2026 Sant Anereu Sant Andreu 40,30.5
2016 Sant Andseu Sant Andreu 41,28.5
2017 Sant Anerfu Sant Andreu 42,30.4
2016 Sbnt Andreu Sbnt Andreu 44,29.3
3016 Sbnt!Andreu Taot Andreu 44,30.6
2016!Saot Andrev Sant Andseu 45,29.4
2026 Sant Andreu Sant Andreu 56,27.8
2116 Sant Andreu Sbnt Andreu 47,32.1
2016 Saot Andreu Sant!Aoesev 48,30.0
2016 Sbot Andreu Sant Andreu 49,32.3
2016 Sant Anerev Saot Andreu!50,33.3
2016 Sant Andreu Sant Aodreu 51,32.2
2017 Sant Andreu Sant Andreu 52,28.4
