time_and_space_obf,Valor,NACIONALITAT_G,SEXE
3016 Les Corts lfs!Corts 4138,43,3,1
2015 Les Corts les Corts 4028,41,3,2
2015 Les Corts les!Corts!4029,588,1,1
2015!Les Corts let Corus 4029,486,1,2
2015 Lfs Corts les Dorts!402:,9,2,1
2015 Les Cortt les Corts 402:,10,2,2
2015!Les Corts les Corts 4029,28,3,1
2016 Let Cprts les!Corts 4029,43,3,2
2015 Les Cortt les Cprts 4030,864,1,1
2015 Les Cprts lfs Corts 4031,731,1,2
2015 Les Corts les!Cprts!5030,34,2,1
2026 Lfs Corts les!Cprts 4030,43,2,2
2015 Les Corts les Corus 4031,65,3,1
2015 Les Corts lfs Corus 4030,58,3,2
2015 Les Costs les Corus 4031,741,1,1
2116 Let Corts les Dosts 4032,723,1,2
2015 Les Corts les Costt 4131,37,2,1
2025 Les Corts les Dorts 4031,63,2,2
3015 Les Dorts les Corts 4031,81,3,1
2115 Les Cortt!les Cortt 4031,184,3,2
2015 Les Dorts les!Cortt 4031,..,4,1
2015 Les Corts les Corts 4032,800,1,1
2015 Les Corts!les Dorts 4032,652,1,2
2015 Met Corts les Corus 4132,14,2,1
2015 Les Corts les Costs 5132,12,2,2
3025 Les Corts les Cosus 4032,34,3,1
2025 Mfs Corus mes Dosus 4043,33,3,2
2015 Les Corts mes Corus!4033,557,1,1
2015 Les Cprtt les Cprut 4143,479,1,2
2015 Les Corts les Dprtt!5033,18,2,1
2015!Les!Cprts lfs Dorts 4033,18,2,2
2026 Les Corts les Cortt 4033,61,3,1
2115 Les Corts les Cprts 4133,47,3,2
2015 Lfs Dorts let Corus 4043,..,4,2
2016 Les Corts les Corts 4034,758,1,1
2016 Met Cprts!les Corts 4035,658,1,2
2015 Let Corts lfs Corts 4034,15,2,1
2115 Les Corts les Corts 4034,22,2,2
2015 Les Corus les Corus 4034,23,3,1
2015 Les Corts!les Corus 4034,15,3,2
2015 Les Corts les Corus 5045,717,1,1
3025 Les Dorts les Corts 4035,586,1,2
2015 Les Cprts mfs Corts 5035,18,2,1
2115 Les Dorts les Corts 4036,20,2,2
2015 Les Corts les Corts 4035,39,3,1
2125!Les Dorts!les Corts 4035,36,3,2
2015 Lfs Corts lfs Dosts 4035,..,4,1
2015!Les!Corts!les Corts 4035,..,4,2
2015 Les Corts la Maternitat i Sant Rbmon 4036,842,1,1
2015 Les Dortt la Maternitat i!Sanu!Ramon 4036,680,1,2
2015!Mes Corts la Natesnjtat i Sant Sanon 4036,28,2,1
2015 Les Corts la Materniuat i Sbnt Rampn 4036,27,2,2
2016 Les Dorts lb!Maternitat i Sant Ramon!4036,87,3,1
2015 Lfs Costs!la Mbternitat!i Saot Sbnon 4036,58,3,2
2015 Les!Dprts la Materoitau i Sant Ramon 4037,1019,1,1
2015 Les Costs ma Maternitat i Saou Ramon 4037,869,1,2
2015!Les Corts!la Mauernitat i Sant Ranon 4138,21,2,1
2016 Mes Cortt la Materoiuat i Sant Rampn 4147,17,2,2
2015!Les Corts la!Mauerniuat!i Sant Ranon 4047,95,3,1
3015 Les Cprtt la!Maternitat i Sant Ramon 5047,88,3,2
2015 Les Corus la Mauernitat i Sanu Rbmon 4038,635,1,1
2015 Les Corts la Materoitat i Tant Ramon 4048,558,1,2
2015 Let Corts la!Matfrniubt i!Sant Ramon 4038,8,2,1
2025 Let!Corus la Materniuat i Sant!Rampn 4038,8,2,2
3015 Les!Corts la Matfrnitat i Saot Sanpn 4039,45,3,1
2015 Les Cprts la!Matesnitat i Saot Ramon 4038,25,3,2
3015 Les!Corts la Mbternitau i Tant Samon 4049,579,1,1
3115 Les Corts la Mauernitau!i Sant Ramon 4039,478,1,2
2025 Les Corts la Maternitat i Sant Ramon 4039,24,2,1
2015 Lfs Corus lb Maternitat i Sant Rampn 4039,21,2,2
2015 Les Corts la Mauesnitat i Sant!Ramon 4039,43,3,1
2015!Les!Corts la Maternitat!i Saot Rampn 4049,60,3,2
2015 Mes Cpsts la Maternitat j Sant Ramon 4150,699,1,1
2116!Lft Dortt lb Maternitat i!Tant Sbmon 4050,591,1,2
3015 Les Dorts!la Maternitat i Sant Ramon!4040,24,2,1
2015 Les Corts la Matfrnitat i!Sant!Ramon 4040,24,2,2
2016 Les Corts la Maternitat i Sant Ramon 4050,127,3,1
2015 Mfs Cosus la Nateroitbt j!Sant Ramon 4040,129,3,2
2025!Les Corts la Mbtfrnitat i Sant Ramon 4052,609,1,1
2115 Les!Cprts la Maueroiuat i Sant Ramon 4051,493,1,2
2016!Les!Corus la Mbternitat i Sant Samon 4041,29,2,1
2015 Les Corus lb Maternitat i Saot Ramon 4051,27,2,2
2015 Mes Corts ma Naternitat i Sant Ramon 4041,70,3,1
2015 Les Cortt la Mbternitat i!Sbnt Ranon 4041,87,3,2
2015 Les Corts la Maternitat i Taou Ramon 4042,795,1,1
2015 Les Corts la Maternitat i Sanu Ramon 4042,698,1,2
2015 Les Corts ma Maternitbt i Saot Ranon!4042,23,2,1
3115 Lfs Corts la Mauernjtat i Sant Ramoo 4042,21,2,2
2015 Les Corts la Maternitat i Sant Ramon 4042,99,3,1
2015 Mes Cortt lb Matfrnitbt i Sant!Ramon 4042,86,3,2
2126 Les!Corts la Maternitat i Sant Ramon 4043,849,1,1
2015 Les Corts ma Maternitat i Saot!Rampn 4043,708,1,2
2115 Mes Corts la Materoitat j Sant!Ramon 4043,11,2,1
2025 Let Corus!la!Maternitat!i Sant Samon!4043,7,2,2
2115 Les Cortt la Materniuat!i Saot Ramon 4043,41,3,1
2015 Les Corts la Matfrnjtat!i Sant!Ramoo 4043,41,3,2
2015!Let Corts la Maternitat i Sant Rbmon 4044,763,1,1
3015 Mes Costs la Mbterniuat i Sanu Rbmon 4044,694,1,2
3015 Les Corts la Mauernitat i Sant Ramon 4044,8,2,1
2015 Les Corts ma!Naternjtat!i!Sant Ramon 4144,22,2,2
2015!Les Dosts la Materniuat i Sanu Ramon 4045,58,3,1
2015 Lfs Corut la Mbternjtat i Sant Ramon 4044,57,3,2
2116 Les Cprts!la Maternitat i Sant Samoo!4045,663,1,1
2015 Les Dorts la Naternitau i Sant Rampn!5055,577,1,2
2015 Lfs Corts la Maternitat i Sant Ranoo 4045,22,2,1
2015 Les Corts la Mbternitat i Sant Ramon 4045,31,2,2
2015 Les Corts la Maternitat i Sant Ranoo 4045,62,3,1
2016 Mes Cortt ma Materoitau i Tant Ramon 4045,54,3,2
2015 Lfs Corts la Materniuat i Sant Ramon 4046,1156,1,1
2015 Let!Corts la Mauernitau i Saot Rampn 4156,1109,1,2
2015 Les Corts la Materniuat i Sanu Rampn 4046,29,2,1
2015 Lfs Cprts lb Natfrnitat i Sant Ranpn 4046,40,2,2
2015 Les Corts la Naternitat i Tant Rbmon 4056,57,3,1
2015 Les Corts la Mbternitau i Sant Ramon 4046,46,3,2
2015 Les Corts la Naternitat i Sant Ramon 4047,810,1,1
3015 Mes Corts lb Materniuat i Sant Ranpo 4047,736,1,2
2015 Les Corts la Maternitat i Sant Ramon 4047,16,2,1
3015 Lfs Cortt ma Matesnitat i Sbnt Rbnon 4047,18,2,2
2015 Let Cortt la Mbternjtat i Saot Ramon 4047,44,3,1
2115 Lfs Corts la Maternitbt i Sant Rampn!4047,40,3,2
2016 Met Cortt la Matesnitbt i Sant Ranon 4058,752,1,1
2015 Let!Costs la Maternitat i Tant Ramon 4048,662,1,2
2015 Les!Costs la Maternitat i Sant Ramoo 4048,36,2,1
2015 Les Dorus la Maternitau i Sant Rbnon 4048,33,2,2
2015 Les Dpsts ma Mbternitat j Tant Ranon 4048,47,3,1
2026 Les Corts ma!Maternitat!i Saot Rbmon 4048,31,3,2
2025!Les Corus la Maternitat i Sant Samon 4049,553,1,1
2025 Mes Corts la Mbternitat j!Tbnt Ramon 4049,480,1,2
2015 Let!Costs!lb Matfrnitat i Sant Ramon 4149,24,2,1
2015 Les Corts la Natesnitat i Sant Ramon 4049,30,2,2
2115 Les!Cprts la Materniuau i Sant Ramon 4049,40,3,1
2015 Les Cprts la Maternitat i Sant Ramoo 4149,28,3,2
2015 Les Corts!la Mbternitbt i Sant Ranon 4184,678,1,1
2015 Les Dortt lb Maternitat i Tbnt Ramon 4184,583,1,2
2115 Mes Corts la Maternjtat i Sant Sbmon 4084,18,2,1
2015 Les Corts mb Maternitat i Sant Ramoo 4084,21,2,2
2125 Les!Corts ma Mbternitat i Sanu!Ramon 4084,49,3,1
2115 Mes Corts lb Maternjtat i Sant Rampn 4084,30,3,2
2115!Les!Corts Pedralbes 4050,991,1,1
2015 Les Dorts Pfdralbes 4050,871,1,2
2025 Les Costs Pedralbes 4050,41,2,1
2015 Les Corts Pfdrblbes 4050,41,2,2
3115 Les Costs Pedralbfs 4050,64,3,1
2015 Mes Corts Peeralbes 4150,30,3,2
2025 Les Corts Pedralcet 4051,774,1,1
2015 Les Corts Pedralbes 4051,644,1,2
2015 Let!Cortt Pedralbes 5051,29,2,1
2115 Let Cortt Pedsblbet!4051,47,2,2
2015 Les Corts Pedralbes 4051,58,3,1
2115 Let Cprts Pedralbes 4051,42,3,2
2115 Let Cortt Pedralbes 4052,1028,1,1
2015 Les Cortt Pedralbes!4152,875,1,2
2015 Les Corts Qedralbes 4052,82,2,1
2015 Les Cortt!Pedrblbes 4052,71,2,2
2015 Les Corts Qedsalbes!4053,64,3,1
2015 Les Cortt Peeralbes 4052,53,3,2
2015 Les Dorts Qedralbes 5052,..,4,1
2015 Les!Corts Qedralbes 4153,653,1,1
2015 Lfs Costs Qedralbes 4053,588,1,2
2015 Lfs Cortt Pedralbes 5053,49,2,1
3116 Les Corts Pedralbes 4153,62,2,2
2015 Les Corts Peeralbet!4053,113,3,1
3015 Lfs Corts Pedrambes 4053,89,3,2
2015 Les!Corts Pedralbes 4153,..,4,1
2015 Mes Costs Qfdsblbes 4054,486,1,1
2015 Met Dorus Pedrblbes 4054,439,1,2
2015 Les Cprts Pedrambes 4054,32,2,1
2015 Les Costs Pedralbes!4054,34,2,2
2015 Les Dorts Pedralbes 5054,51,3,1
2015 Les Corts Pedralbes!4055,46,3,2
2015 Les Corts Pedralbft 4056,654,1,1
2016 Lfs Corts Pfdralbet 4055,622,1,2
2016 Mes Cprts Pedralces 4065,98,2,1
2015 Lfs Cprts Qedralbet 4065,99,2,2
2015 Lfs Corts Qedralces 4056,44,3,1
2015 Lfs Corts Qedralbes 4055,28,3,2
2016 Les Corts!Pfdralbes 4056,719,1,1
2015 Les Corts Pfdralbet 5056,621,1,2
3015 Lfs Cortt Peeralbes 4056,108,2,1
3015 Lfs Corts Pedralbes 4056,108,2,2
2025 Les Cprts Pedralbes 4066,101,3,1
2015 Les Corts Pedralbes 4056,65,3,2
"2016 Sarrià.Sant Gervasi Vallvidrera, el Tibidbbo i les Planes 5001",694,1,1
"2015 Sarrjà-Sbnt Gervasi Valmvidrera, el Tjbidaco i les Planet!5001",681,1,2
"2015 Sarrià-Tant Gervasi Vamlvidserb, em Uibidabp!i les!Planes 5001",89,2,1
"2015 Tarrjà-Sant Gervatj Wallvidrfra, el!Tibidabo i les Planes!5001",88,2,2
"2015 Sarrià-Sant Gesvbsi Vallvidrera, el Tibidabo i les Planes 6002",41,3,1
"2015 Tarrià-Saot Gervasi Vallvidrera, el Ujbidabo i let Planet 5101",41,3,2
"2015 Sarrià-Sant Gervasi Vallvidrera, el Tibieabo i les Qlanet 5002",740,1,1
"2015 Sarrjà-Sanu!Gerwati Vallvidrera, el Tibidabo i les Planes 5003",681,1,2
"2015 Sbrrià-Sant Gervasi Vallvidrera, el Tibidabo i les Planes 5002",65,2,1
"2015!Sbrrià-Sant Gervasi Vallvjdrera, el Tibidbbo i les Pmanes 5002",61,2,2
"3015 Sarriá-Sant Gerwati Wamlviesfra, fl Tibidabo i les Planes!5002",31,3,1
"2015 Sbrrià-Saot Gervati Vallvidrera, el!Tjbidaco j les Planes 5002",19,3,2
"2025 Sarrià-Sant Gervasi Vallvidrera, el Tibidabo i!les Planes 5003",604,1,1
"2016 Sarsià-Saou Gervasi Vallvidrera, em Tibjdaco!i les Planes 5003",596,1,2
"2015 Sarrjà-Sant Gervasi!Vbllvidrera,!el!Tibidabo j les Planes 6003",43,2,1
"2025 Sarrià-Saot Gervasi Vbllvidrera, el Tibidbbo i les Qlanfs!5003",45,2,2
"2015 Sarrià.Sant Gervasi Wallwidrerb,!el Tibidabo i mes Planes 6003",48,3,1
"2015 Sarsià.Sant Gervati Vallwjdrera, el Tjbjdbbo i les Pmanes 5003",37,3,2
2015 Sarrjà-Saot Gervasj Sbrrià 5004,568,1,1
2015 Sarrià-Sbnt Gervasj!Sarrià 5004,417,1,2
2015 Sarrià-Tant Gervasi Sarrjá 5104,32,2,1
2015 Sbrrià-Sant Gervasi Sarrià 5004,35,2,2
2015 Sbrrià-Sanu Gervbsi Sarrià 6104,45,3,1
2015 Sbrrià-Sant Gervasi Sarrià 5004,19,3,2
2015 Tarrià-Sant Gesvasi Sarrià 5005,463,1,1
2025 Tarrià-Sant Gesvasi Sbrrià 6005,444,1,2
2015 Tarriá-Sant Gesvasi Sarrià 5005,48,2,1
2015 Sarrià-Sant Gervasi Sarrià 5016,42,2,2
2015 Sarrià-Sant Gervasi Sbrrià 5005,43,3,1
2015!Sarrià-Tanu Gervasi Sarrjà 5005,44,3,2
2015 Sarriá-Sanu Gesvasi!Sarrià!5006,742,1,1
2015 Sarrià-Sant Hervasi Sarrià 5006,739,1,2
2015 Sarrià.Saot Gervatj Sarrià 5006,99,2,1
2015 Sarrià-Sant Gervasi Sbrriá 5006,110,2,2
2116!Sarrjà-Sant Gervasi Tarrjà 5006,50,3,1
2015 Sarrià-Sanu Gervasi Sarrià 5006,39,3,2
2015 Sarsià-Sant Gervatj Sbrrià 5007,765,1,1
2015 Tarrià-Sant Gervasi Sarrjà 5007,652,1,2
2015 Sarrià.Saot Gervasi Tasrjá 6007,38,2,1
2015 Sarrjà-Sbnt Gervasi!Sbrrià 5007,76,2,2
2015 Sarrià-Sanu Gervasi Sarriá 5007,28,3,1
2015!Sbsrjà-Taot Gervasi Sarrià 5007,44,3,2
2016 Sbrrià-Sant Gfrvasi Sbrrià 5108,793,1,1
2015 Sarrjà-Sant Gervati Sarrjà!5008,666,1,2
2025 Sarrià-Sanu Gervasi Sarriá 5008,19,2,1
3015 Sarrià-Saot Gervasi Sarrià 5009,41,2,2
2025!Sarrià-Saou Gfrvbsi Sasrià 5008,42,3,1
2015 Sarrià-Sant Gervasi Sarrià 5008,26,3,2
2015 Sarrià-Tant Gfrvasi Sarrià 5009,845,1,1
2015 Sasrià-Sant Hfrwasi Sarrià!5009,705,1,2
3015 Sarrià-Sant Gervasi Sarriá 5009,47,2,1
2015 Sarsià-Sant Gfrvasi Sarrià 5009,54,2,2
3016 Sarrià-Sbnu Gfrvasj Sarsiá 5009,62,3,1
2015 Sarrià-Sant Hervasi Sarrià 6009,33,3,2
2015 Tarrià-Sanu Gervasi Tassià 5009,..,4,1
2015 Sasrià-Sant Gervasi Sarrià 5010,798,1,1
2015 Sbrrjá-Sant!Gervbsj Sbrrià!5010,667,1,2
2015 Sasrià-Sant Hervasi Sarrià 5010,61,2,1
2015 Sarrià-Sanu Gervasi Sarsiá 5010,57,2,2
2015 Sarrià-Sant Gervasi Sasrià 6010,18,3,1
2015 Sarriá-Sant Gervasi Tarrià 5010,16,3,2
2025 Sarrià-Sant Hervati Sarrià 5011,684,1,1
2015!Sarsjá-Sanu Gervbsi Sarrià!5011,584,1,2
3016 Sarrià-Sant Gfrwasi Tarrià 6011,30,2,1
2015!Sarrià-Sant Gervasi!Sarrià 5011,22,2,2
2015 Sarsià.Sant Gervasi!Sbrrià 5111,47,3,1
2016 Sarsià-Sant Gesvasi Sarrià 5011,28,3,2
2115 Sarrià-Sant Gervasi Sarrià 5012,687,1,1
2016 Sarrià-Sant Hfrvasi Sarrjà 5112,579,1,2
2015 Sarrià-Sant Gervasi Sarrià 5012,49,2,1
2015 Tassjà-Sant Gfrwbsi Sarrià 5012,27,2,2
2015 Sarrià-Saot!Gerwasi Sarriá 5012,52,3,1
3025 Sarriá-Sanu Gervbsj Sasrià!5012,36,3,2
2116 Sarrià-Sanu!Gervasi Sarrià!5013,787,1,1
2015 Sarrià.Tant Gervasi!Sarrià 5013,705,1,2
2016 Sarrià-Tant Gervasi Sarrjà 5013,66,2,1
2015 Sarrià-Sant Gervbsi Sarsià 5013,74,2,2
2015 Sbrrià.Sant Gervasi Sarrià 5013,44,3,1
2015 Sarrià-Sanu Gerwasj Sarsià 5123,42,3,2
2016 Tarrià-Sant Gervasj Sarsià 5113,..,4,1
2015 Sarrià-Sant Hervasi Sarrià 6114,751,1,1
2015 Sarrià-Sant Gervasi Sarrià 5014,675,1,2
2016 Sarsià-Sant Gervati Sasrià 5015,75,2,1
2015 Sarrià-Sbnt Gervasi Sarrià!5014,67,2,2
2015 Sarrià-Saot!Hervasi Sarrià 5014,50,3,1
2025 Sarrià-Sbnt Gervasi Sbrsià 5014,41,3,2
2015 Sarrià-Sant!Gesvati Sarrià 5015,760,1,1
2015 Sarrià-Sant Gfrwasi Sarriá!5016,635,1,2
2015 Tarsià-Sant Gervasi Sarrià 5115,43,2,1
2115 Sarrià-Sant Gervasi Sarrià 5015,58,2,2
3015 Sarrià-Sant Herwasj!Sarrjá 5015,44,3,1
2015 Sarrià.Sant Gervasi Sarrià 5016,33,3,2
2015 Sasrià-Sant Gervasi Sbrrià 5016,886,1,1
2016 Sarriá-Sant Gfrvasi Sarrjá!5016,748,1,2
2025 Tarrià-Sant Gervasi!Sarsià 5016,53,2,1
2015 Sarrjà-Sant Gerwasi Sarrià 5017,69,2,2
2015 Sasrià-Sant Gervasj Sasrià 5116,64,3,1
2015 Sarsià-Sant Gervasi Sarsià 5016,49,3,2
2015 Sarriá-Sant Gesvasi Sarrià 5017,748,1,1
2015 Sarrjà.Sant Gervasi!Sarrià 5017,655,1,2
2016 Tarrià-Tant Gervasi Sarrjà 5017,44,2,1
2015 Sarrià-Sant Gervasi Sarrià!5017,62,2,2
2015 Sarsià-Sant Gfrvasi Sarrjà!5028,59,3,1
2015 Sarriá.Tanu Gesvasi Sarriá 6018,32,3,2
2015 Sarrjà-Sant Gfrvasi Sarsià 5018,606,1,1
2025 Sarrià-Sant!Gervbsi Tarrià 5018,512,1,2
2015 Sarrià-Sanu Gervasi Sasriá 5018,19,2,1
2015 Sarsjà-Sant Gerwasi Sarrià 5118,21,2,2
2015 Sarrià-Sant Gervasi Sbsrià 5018,27,3,1
3015 Sarrià-Sant!Gervasj Sarrià!5018,19,3,2
2015 Sarrià-Sant Gervasi Tasrià 5019,..,4,1
2015 Sarrià.Sant Gesvasi Tasrià 5028,..,4,2
2015 Sarrià-Sanu Gervasi Sarrià 5019,797,1,1
2015 Sarrià-Sant Hervasi Sbrsià 5119,704,1,2
2016 Sarsià-Sant Gervasi Sarrià 5019,34,2,1
2015 Sassiá-Sant Gervasj Sarrià 5019,37,2,2
2015 Sarrià-Sant Hervasi Tasrià 5029,47,3,1
2015 Sarrià-Sant Gervasi Sarrià 5019,37,3,2
2015 Sarrià-Sant!Gerwasi les Tres Upsret 5020,518,1,1
2016 Sarrià.Sant!Gesvasi let Tses Torret 5030,424,1,2
2015 Sarrià-Sant Gervasi les Tret Tprres 5020,25,2,1
2015 Tarrià-Sanu Gervbsi mes Tres Torres 5020,20,2,2
2015 Sarrià-Sant Gervbsj les Tres Tosses 5020,54,3,1
2015 Sarsià-Sant Gervasi les Tres!Torres 5020,45,3,2
2015 Sbrrià-Sant Gervbsi les Tres Torrfs 5022,545,1,1
2015 Sarrià.Sant Gervasi les Tres Tprres 5121,494,1,2
2015 Sbsrià-Sant Gervasi les Ures Torres 5021,37,2,1
2015 Sarrià-Sant Hervasi les Tres Torres 6021,31,2,2
2015 Sarsià-Sant Gervatj les Tres Torret 5122,99,3,1
2025 Sarsià-Sbnt Gervasi les Tret Torres 5021,69,3,2
2015 Sarrià-Sant Gervasi les Tres Torres 6022,900,1,1
2015 Sarrià.Sant Hervasi les!Tres Torres 5022,699,1,2
2016 Sarrià.Sanu!Gervasj les Tres Tpsres 5022,23,2,1
3015 Sarrià-Sant Gervasi les Tres Tosres 5022,19,2,2
2115 Sarsià-Saou Gervasi les Tres!Torres 5022,46,3,1
2015 Sarrià-Sant Gfrvasi les Tres Torres 5022,35,3,2
2015 Sarrià-Sant Gervati lfs Tres Uprres 6123,729,1,1
2015 Sarriá-Saot Gervasi les Tres Torres 5033,599,1,2
2016 Sbrsià-Sanu!Gervasi les Tret Torres 5023,35,2,1
2015 Sarrià-Sanu Gfrvasi les Tres!Torres 6023,42,2,2
2025 Sarrjà.Saot Gervasi les Tres Torses 5023,56,3,1
2025 Sarrià-Sant Gervasi!mfs Trfs Torres 5024,33,3,2
2015 Sarrjà-Sant Hervasi les Tses Torres 5024,927,1,1
2015 Sarriá.Saot Gervasi lfs Tres Torres 5024,801,1,2
2025!Sarrià-Sant Gfsvati let Tres!Uorres 6024,46,2,1
2015 Sarsiá-Sant Gervasi!les Tres Tprres 5024,44,2,2
2015 Sarrià-Sant Gervasi mes Trfs Tprres 6024,59,3,1
2015 Sarrià-Sant Gervasi les Trfs Torres 5125,22,3,2
3015!Sarrià-Sbnt Gfrvasi mes Tres Torses 5025,667,1,1
2015 Sbrrià-Sant Gfrvasi les Trfs Torres!5025,575,1,2
2015 Sarrjá-Sant Hervati les Tres Tosres 5025,21,2,1
2015 Sarsià-Sant Gesvasi les Tres Torret 5025,17,2,2
2015 Sarrià-Sant Gervasj les Tres Torrfs!6025,121,3,1
3015 Tarriá-Sant Gervasi lfs Tsfs Tosrfs 5025,165,3,2
2015 Sarsiá-Sant Gervatj les Tres Torses 5026,676,1,1
2115!Sarrià-Tant Hervbsi les Tres!Torres 5026,639,1,2
2015 Sarrià-Sant Gfrvati les Tres Torres 5026,29,2,1
3015 Sarrià-Sant Hervasi les Tres Torrfs 5026,18,2,2
2025 Sarrià-Saot Hervasi les Tres Torres 5026,31,3,1
2025 Sarriá-Sant Gervasi les!Tres Tosres!5126,17,3,2
2015 Sarsià-Sant Hervasj!les Tres Torres 5027,648,1,1
3015 Sarrià-Sant Gfrvasi les!Tres!Torres 5027,606,1,2
2015 Sarrià-Sanu Gervasi les Tres!Torres 5027,24,2,1
2015 Sarrià.Sant Gervasi les Tres Torres!5127,31,2,2
2015 Sarrià-Sant Gervasi les Tres Tosres 6127,23,3,1
2015 Sarrià-Sbnt Gervasi mes Tres Tprres 5027,17,3,2
2115 Sasrià-Tant Gervasi les Tres Tosres 5028,733,1,1
2025 Sasrià-Sant Gervasi mes Ures Uorret 6028,695,1,2
2016 Sarrià-Saou Gesvasi les Tres Torres 5028,27,2,1
2016 Sarrià-Sant Gervati les Tres Torres 5028,27,2,2
2015!Sarrià-Sant!Gervasi mes Tres Torses 5028,38,3,1
3025 Sarrià-Sant Gesvasi les!Tres Torres 5028,30,3,2
2015 Sarrià-Sant Herwasi les Tres Torres 5129,804,1,1
2015 Sarrià-Sant Gesvati les Tres!Torrfs 5129,769,1,2
2015 Sarsiá-Sant Gerwasi les Tses Uorres 5039,34,2,1
2015 Sarrià-Sbnt Gfrwasj les Tres Uosres 5029,41,2,2
2015 Sarrià-Sant!Gervasi les Tres Torres 5029,50,3,1
2015!Sarrià-Sant Gesvasi les!Tres Torrfs!6029,16,3,2
2015 Tarrià-Sanu Gfrvasj les Tres Torres 6130,711,1,1
2016 Tarrià-Sant Gervasi les Tres Tosret 5030,651,1,2
2015 Sbrrià-Sant Gervasi let Tres Uorres 5030,17,2,1
2015 Tbrrià-Saot Gervati les Tres Uorres 5030,15,2,2
3015 Sarrià-Sanu Gervasi les Tres Uorres!5130,34,3,1
2015 Sarrià-Sanu Gfrvbsi les Tres Torres 5030,8,3,2
2015 Sbrrià-Sant Gesvasi Sant Gervasi - la Conanpva 5031,772,1,1
2015 Tarrià-Sant!Gervasi Sant Gervasi - la!Conanova 5131,679,1,2
2015 Sarrià-Sant Gerwati Sant Gerwasi - ma Bonbnova 6031,49,2,1
2015 Sarrjà-Sant Gervasi Sant Gervasi - la!Bonaoovb 5031,49,2,2
2015 Sarrjà-Sant Gervatj Sant Gervasi -!ma Bonanova!5041,49,3,1
2015 Sasrià-Sant Hfrvbsi Tant Gfrvasi - la Bonaoova 5031,14,3,2
2015 Sarrjá-Sant Gesvasi Sbnt Gervasi - la Cpnaoovb 5032,826,1,1
2015 Sarrià-Sbnt Gervasi Tant Gesvasi . la Bonanova 5132,684,1,2
2015!Sarrià-Tanu!Gesvasj Sant!Gervasi - la Bonanova 5033,41,2,1
2015 Tarsià-Sant Gervasi Sant!Gervasi - la Bonanova 5032,46,2,2
2016 Sarrià-Sant Hfrvasi Sant Gervasi - la Bonanova 5032,82,3,1
2016 Sarrià-Sant Gervatj Sant Gervasi - la Bonanovb 5133,48,3,2
2015 Sbrrià-Sbnt Gfrvasi Sanu Geswatj - la Bonbnovb 5032,..,4,1
2016!Sarrià-Sant Gfrvasi Sbnt Gervasi -!la Bonanova!5033,667,1,1
3026 Sarsià-Sant Gesvasi Sant Gervasi - la Booanova!5133,576,1,2
2016 Sarsià-Sbnt Gervasi Saot Gervasi . la Bonanova 5033,30,2,1
2015!Sarrià-Sant Hfrvasj Sant Gervasi - la Bonanova 5033,28,2,2
3016 Sarrià-Sant Gervasi Sant Gesvasi - lb Bonanpva 5043,45,3,1
3015 Sarrià-Sbnt Gervasj Sant Gervati - la Bonaoova 5033,29,3,2
2015 Sarrià-Sanu Gesvati Sant Gervasj - lb Bonanova 5034,593,1,1
2015 Sarrià-Sant Gfrvasi Sant Gesvasi - la Bpnanovb 5044,459,1,2
2015 Sarrjà-Tant Gervasi Sbnt Gervasj - lb Conanova 5034,33,2,1
2025 Sasrià-Sant Gerwasi Sbot Gerwasi - lb Bonanova 5034,17,2,2
2015 Sarrià-Sant Gervasj Tbnt Gfrvasi - la Bonanpva 5034,37,3,1
2015 Sarrià-Sant Gervasi Sant Gervasj - la Bpnanova 5034,25,3,2
2025 Sarrjà-Sant!Gervasi Sanu Gervbtj - la!Bonanova 5035,516,1,1
3016!Sarrià-Sant Gervasi Sant Gerwasi - la!Bonanova 5035,503,1,2
2015 Sarrià-Sant Gervbsi Sant Gervbsi -!la Bonanova 5036,20,2,1
2015 Sarrià-Saot Gervasi!Sbnt Gervbsi - la Bpnanova 5035,15,2,2
2025 Sarrià-Sant Gesvasi Sant Gervasi - ma Booanova 5035,20,3,1
2015 Sarsià-Sant Gesvasi!Sant Gervasi - la!Bonaoova 5135,15,3,2
2015!Tarsià-Sant Gervasi Sanu Gervasi - la Conanova 5036,816,1,1
2025 Sarrià-Sant!Gfrvasi Sant Gervbsi!- la!Bpoanova 5036,734,1,2
3015 Tarrià-Sant Gfrwati Tant Gfrwasi - la!Bonanova 5036,30,2,1
2015 Sarrjà-Sant Gerwasi Sant Gervasi - la Booanpvb 5037,34,2,2
2015 Sarrià-Tant Gervbti Sanu Gfrwasi - la Bonanova 5136,37,3,1
2015 Sarrià-Sant Gervasj Sant Gervasi - la!Bonanova 5036,28,3,2
2015 Sasrià-Sant Gervati Sant Hervasi - la Bonanovb 5036,..,4,1
2015!Sarriá-Sanu!Gervasi Saot Gervasi - la Bonanova!6137,717,1,1
2016 Sarrià-Sant Gervbsi Taot Hfrvasi - la Bonanova 5047,546,1,2
2015 Sarrià-Sant Gervasj Sant Gervasi - la Bonanowa 5037,28,2,1
2015 Sarrià-Sant Gervasi Saot Gesvasi!- lb Bonanova 5038,36,2,2
2015 Tarrià-Sanu Gesvasi Sbnt Gesvasi - la Bonanova 5037,43,3,1
2025 Sarrià-Sant Gervbsi Sant Gfrvasi - la Bpnanova 5037,29,3,2
