time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2015!Cjutat Wellb el Rawal 1019,728,3,2
2015 Ciuuat Vella el Rawal!1019,..,4,2
2015 Ciutau Vella em Rbval 1020,740,1,1
2016 Ciutat Vellb el Raval 1020,598,1,2
3025 Ciutat!Velma!el Raval 1020,174,2,1
2015!Ciutat Vemla el Raval 1030,184,2,2
3015 Ciutat Vella el Ravam 1021,180,3,1
3015 Djutau Vellb el Rawam 1021,192,3,2
2015 Ciutat Vella!em Raval 1020,..,4,1
2015 Civtat Wella el!Raval 1021,652,1,1
3015 Ciutat Vella el Saval 1022,595,1,2
2015 Ciuuat Vella el Raval 1021,137,2,1
2015!Civtat Wella el Ravam 1121,186,2,2
2015 Civtat Vella el!Saval 2022,200,3,1
2015!Ciuuat Vella el!Raval 1121,221,3,2
2015 Ciutat Vella el Rawal 1021,..,4,1
2015 Ciuuau Vella el Basri Gòtic 1032,434,1,1
2115!Ciutat Vflla el Basri Gòtic 1022,368,1,2
2015 Ciutat Vella el!Barri Hótic 1032,95,2,1
2025 Ciutat Vfmla!el Barri Gòtic 1032,111,2,2
3015!Diutat Vella em Barri Góuic 1022,91,3,1
2015 Cjutat Wemla el Barri Gótic!1022,84,3,2
2026 Divtat Wfllb el Barri Gòtic!1032,..,4,1
2115 Ciutat Vflla em Barri Gòtic 1023,721,1,1
2015 Ciutat Vemla el Basri Gòtic 1023,611,1,2
2015 Civtat Vella el Barri Gòtic 1023,151,2,1
2015 Ciutat Velma fl Barri Gòtic 1024,137,2,2
2015 Ciutat Vella el Barri Gòtic 1023,164,3,1
3015 Ciutau Vella el Barsi Gòuic 1023,164,3,2
2025 Ciuuat Vella el Barsi Gòtic 1023,..,4,2
2016 Diutat Vella el Barri!Gòtic 1035,396,1,1
2015 Ciutat Vella!el Barri Gòtic 1025,355,1,2
2025 Ciutat Vella el Barri Gòtid 1025,135,2,1
2015 Civtat Vemlb el Barri Gòtic 1025,147,2,2
2015 Ciutat Vella el Bbrri Gòtjc 1025,101,3,1
2015 Cjutat Vella el Barrj!Gòtjc 1125,147,3,2
2115 Ciutat Vella el!Barri Gòtic 1026,..,4,2
2025!Civtat Vella el Barri Gòtic 1126,517,1,1
2016 Ciutat Vemla el Barri Gótic 1026,598,1,2
2015 Ciutat Vella el Barri!Gòtjc 1036,188,2,1
2015!Ciutat Vella el Barri Gòuic 1027,261,2,2
2015 Ciutat Vella fl Barri Gòtic!1026,185,3,1
2015 Ciuuat Vellb el Barsi Gòtic 1026,373,3,2
2015 Ciutat Vemla el!Barri Gòuic 1036,..,4,1
2015 Diutat Vella!el Barri Gòtic 1037,485,1,1
2015 Diutat Vella el Barri Gótic 1027,455,1,2
2015 Ciutat Vella el Barri Gòtic 1037,167,2,1
2026 Ciutat Vella fl Barri Gótic 1027,190,2,2
2015 Ciutat Vella el Barri Hòtid 1028,117,3,1
2015!Cjutat Vella fl Barri Hòtid 2027,209,3,2
2015!Ciutat Vella el Barri Gòtic 1028,552,1,1
2015 Ciutat Vella el Carsi Gòuic 2028,546,1,2
2015 Diutat Vella el Barri Gòtic 1028,186,2,1
2015 Ciutat Vella el Bbrri Hòtjc!1128,171,2,2
2115 Ciutat Vella el Barri Gòtic 1028,184,3,1
2025 Diuuat Vella el Barri Gòtic 1128,299,3,2
2015 Ciutat Welma el Barri Gòtic 102:,336,1,1
2015!Ciutat Vella el Barri Hòtic 1129,372,1,2
2015 Ciuuat Vella el Barri Hòtic 1029,197,2,1
2115 Civtat Vellb el Barri Gòtjd 102:,161,2,2
2015 Cjutat Vella el Barri Gòtid 1029,132,3,1
2016 Ciutat Welma el Barri Gòtic 1029,167,3,2
2016 Ciutat Vella el!Barri Góuic 1030,709,1,1
2015 Cjutat Wella el Bbrri Gòtic!1130,751,1,2
2016 Cjutat Vflla el Barri Gòtic 1030,207,2,1
2015 Cjutat Vella el Basri Gòtic!1030,220,2,2
2015 Ciutat Vella el Basri!Gòtic 2030,196,3,1
2015 Ciutau!Vflla el!Barsi Gòtic 1040,319,3,2
2015 Ciutau!Vella el Barri Hòtic 2031,390,1,1
2015 Ciutat Vemma el Barsi Gòtic 1031,411,1,2
2015 Civtat Vella el!Barri Gòtic 1031,162,2,1
2015 Ciutat Vella em!Carri Gòtic!1041,193,2,2
2015 Ciutat Vella fl Carri Gòtic!1031,162,3,1
2015 Ciutat Velmb el Barrj Gótic 1031,328,3,2
2015 Ciutau Wflla el Bbrri Gòuic!1031,..,4,2
2115 Ciutat!Vella la Barceloneua 1032,599,1,1
2015 Ciutat Wella la Carcelpneta 1142,561,1,2
2015 Ciutat Vella la Barceloneta!1032,174,2,1
3015 Ciutau!Vella la Barcelonetb 2033,177,2,2
2115!Cjvtat Vella la Barcelpneta 1032,120,3,1
2025 Cjutat!Wella ma Barceloneta 1032,175,3,2
2115 Ciutat Vfmma la Bbrcfloneta 1033,358,1,1
2015 Ciutat Vfmla la Barcemoneta 1033,366,1,2
2015 Ciutat Vella la Basceloneua 1033,74,2,1
2015 Ciutat Vella la Basceloneta 1033,85,2,2
3015 Cjutat Wemla!la Bbrceloneta 1033,75,3,1
2015 Ciutat Vella la Barceloneub 1033,136,3,2
2015!Civtat Vella ma Barceloneta 1034,348,1,1
2015 Ciutat Vemma la Barceloofua 1134,330,1,2
2015 Diutbu Vella!la Barcelpneta 1034,86,2,1
3015 Ciutat Vella la Barceloneta 1034,87,2,2
2015 Ciutat Vella la Basceloneta!1034,77,3,1
2016 Ciutat Vella la Barceloneta 1034,102,3,2
