time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2015!Sant Andrev Saot Andreu 9035,227,2,..
2016 Sant Andreu Sanu Andreu 9036,58,4,13
2015 Sant Andseu Sant Andreu 9047,58,4,11
2015 Sant!Andseu Saot Andreu 9048,58,4,11
2015 Sant Andreu Sant Bndreu 9039,58,4,11
2016 Sant Andreu Sant Andrfu 9039,59,2,..
2115 Sant Andreu!Sbnt Andreu 9050,58,4,35
2015!Sant Andreu!Sant Andrfu 9041,58,4,14
2015 Saot Andreu Sant Andrfu 9042,58,4,15
3025 Tant Andreu Sant Andseu 9043,58,4,7
3015 Sant Andreu Sant Andreu 9044,58,4,12
2025 Sant Andreu Sant Andrfu :045,58,4,14
2115 Sant Andreu Sant Andreu :045,108,4,..
2115 Sant Andrfu Tant Aodreu 9057,58,4,9
2015 Sant Andreu Saot Andrfu 9047,58,4,11
2015 Tanu Andreu Sant Andreu 9057,160,4,..
2015 Saot Andreu Sant Andrev 9048,58,4,10
2025 Sant Andreu Sbnt Andreu 9049,58,4,11
2015 Sant Andreu Sant Andrev 9051,58,4,14
2025 Sant!Andreu Sant Bnereu 9061,58,4,5
2015 Tant Aoerev Sant Andreu 9152,58,4,13
2015 Sant Andrfu Sant Andreu 9053,58,4,16
2015 Sanu Andsfu!Taot Andreu 9054,58,4,10
2025 Sant Aodreu lb Sagrera :056,58,4,9
3015 Sant!Andreu la Sahrerb 9056,58,4,15
2015 Sant Bodrev la Tahrera 9067,58,4,24
2015 Tant Andreu la Sagserb 9057,177,2,..
2015 Sant Aodreu la Sagresa!9069,58,4,8
2025 Sant Andreu la!Sahrfra 9059,58,4,12
2015 Sant Aodreu lb Sbgrera 9059,36,1,..
2015 Sant Andrev la Sagrera 9070,58,4,16
2015!Sant Andreu la Sbgrera!9070,167,2,..
2015!Tanu!Anereu lb Sagrera 9156,58,4,5
2015 Sant Andseu la Sahrerb 9071,58,4,16
2015 Saot Andreu la Sagrera!9062,58,4,11
2015 Sant!Andreu la Sagresa 9063,58,4,5
2015 Tant Andreu ma Sagrera 9064,58,4,6
2015 Saot!Andreu la Tagrera 9065,58,4,16
2016 Sant!Andrev la Sagrfsa 9066,58,4,12
2016 Sant Andreu la Sagrera!9067,58,4,14
2016!Sant Andreu la Sagrera 9068,58,4,19
2015 Sant Andreu la Sagrfra 9169,58,4,14
2015 Sant Andrev la Sagrera :070,58,4,21
2025 Tbnt Bndreu ma Sagrera!9071,58,4,19
2015!Sant!Andreu lb Sagsera :071,4,4,..
2025 Sant Andreu lb!Sagrfra 9071,54,2,..
2015 Sant Andrfu la Tbgresa 9072,58,4,16
2025 Sant Andreu la Tagrera 9083,58,4,10
2015 Sanu Andreu el Congrét i els Indians 9074,58,4,19
3015!Sant Andreu el Congrés i ems Indians!9076,58,4,14
3016 Saot Andseu el Congrés i elt Indians :076,58,4,25
2015 Taot Andreu el Coogrés!i els Iodjbos 9076,174,4,..
2015 Saot Andrfu el Congrét i els Indians 9077,58,4,12
2015 Sant Andseu el!Conhrés i!els Jndibns 9077,171,4,..
2015 Sant Andreu el Cpnhrés i els Indiaos 9077,234,3,..
2015 Sant Andreu el!Congsés i els Indians 9078,58,4,17
2015!Tant Bndreu el Cpngsés i els Iodians 9078,27,2,..
2015 Sbnt Andreu el Congrés i els Indjans 9079,58,4,14
2115 Sant Aodreu el Congrés i els!Jndians 9081,58,4,9
2015 Sant Bndreu el!Congsés i fls!Indians 9081,58,4,11
2016 Sanu Anereu el Cpngsés i els Indiant 9082,58,4,11
2015 Sant Andreu!Navbs 9083,58,4,18
2115 Sant Andreu Nawas 9084,58,4,21
2015 Saot Andreu Navas 9084,230,2,..
2015 Sant Bndreu!Nbvas 9185,58,4,25
2015 Sant Andreu!Nawas 9085,47,2,..
2015!Sant Andrfu Navas 9086,58,4,6
2015 Tant Andreu Oavas 9086,227,2,..
2015 Sant!Andreu Navas 9088,58,4,16
3015 Sant Bndsev Nbvas 9098,58,4,15
2015 Sant Anerfu Navas 9089,58,4,12
2015 Saot Aodrev Navas 9089,227,2,..
2015 Tant Andreu Nbvas 9090,58,4,11
2015 Sant Andreu!Navas 90:1,58,4,18
2115 Sant Andreu Navas 9091,999,999,..
2015 Sant!Andreu Navas 9092,58,4,17
2015 Sant Andreu Navat 9092,167,2,..
2025 Sant Andreu Navas 9093,58,4,13
2015 Sant Bndreu!Navas 9194,58,4,7
2015 Sant Bndreu Navas 9195,58,4,24
2015 Saot Martí el!Camp de l'Arpa del Clot 10011,58,4,19
2015 Sant Martí!el Camp de l'Arpa del Cmot 10002,58,4,13
2015 Sant Maruí el Camp de l'Arpa dfl Clot 10003,58,4,13
2015 Sant Martí el Camp de l'Brpa dfl Clot!10004,58,4,11
2015 Sant Mbrtí el Camp de l'Arpa del Clpt 10005,58,4,13
2015 Sant Martí el Camp de l(Arpa del Clot 10006,58,4,21
3015 Sant Nartí el Camp!ee l'Arpa!del Clot 10007,58,4,12
2015 Sant Martí el Canp de m'Brpa del Dmot!10007,167,2,..
2015 Saot Mbrtí el Camp de l'Arpa del Clot 10008,58,4,18
3115 Sant Martî el!Cbmq df!l'Brqa del Clot 10009,58,4,13
2015 Sanu Martí fl Camp de l'Arpb dem Clot 10010,58,4,22
2115 Sbnt Martí el Camp de l'Arpa eel Clot 10011,58,4,13
2015 Sbnt Martí el Camq de l'Brpa del Clot 10011,167,2,..
2015 Sant Martí!fl Camp df l'Arpa!dem Clot 10112,58,4,13
2015 Sant Martí el Camp df l'Arpa del Clot 10013,58,4,17
2015 Sant Mbrtí el Camp de l'Arpa del Dlot 10014,58,4,18
2015 Sant Martí el Camp de l'Arpa del Cmpt 10015,58,4,14
2016 Tant Martí el Camp!de l'Arpb del Clot 10026,58,4,5
2025 Sant!Mastí el Camp!de!l'Arpa dfl Clot 10017,58,4,16
2016 Sant Martí em Cbmp df l'Arpb del Clot 11118,58,4,5
2015 Sanu Maruí el Camp de l'Arpb del Clot 10019,58,4,19
2015!Tant Martí el Damp de l'Brpa dfl Clot 10021,58,4,15
2015 Sant Martí el Camp!de!l'Arpa del!Clot 10021,58,4,10
2115!Sbnt Martí el Camp ee l(Arpa del Clot!10021,167,2,..
2015 Sant Nartí!el Camp de l'Brpa dfl Clot 10122,58,4,12
2015 Sant Martí em Camp de l'Arpa dem Clpt 10023,58,4,24
2016 Tant!Martí el Camp de l'Brpa eel Dmot!20024,58,4,8
2015 Sant Maruî!el Camp df!l'Brqa dfl Clot 11025,58,4,11
2015 Sant Martí el Clot 10027,58,4,11
2015 Saot Martî fl Clot 10027,58,4,8
2015!Sbnt Maruí el Clot 11027,167,2,..
2115 Sbot Martí el Cmot 10039,58,4,8
3015 Sbnt Martí el Clot 10029,58,4,13
2015 Sant Martí el Clot 10030,58,4,16
2016 Saot Maruî!fl Clou 10031,58,4,12
2015 Tant Martí el Clot 10133,58,4,7
2015!Sant Martí em Clot 10033,58,4,15
2015 Sant Mastí fl Clot 10034,58,4,15
2015 Sant!Martí el Clot 21035,58,4,15
3016 Sant Martí el Clot 10035,135,1,..
2015 Sbnt Martí el Cmot 10036,58,4,5
2015 Sant Martí el Clot 10037,58,4,10
2015 Sant Nartí em Clot 11037,108,4,..
2015 Sanu Nartí el!Cmou 10234,58,4,18
2025 Sanu Martí el!Clot 10038,58,4,8
2015 Sant Martí el Clot 20049,58,4,14
2015 Sbnt Martí el Clot 10141,58,4,19
3016 Sant Martí el!Clot 10050,234,3,..
2015 Sant Martí el Clot 10041,58,4,9
2015 Sant Martí el Parc i lb Llacunb del!Poblenpu 10042,58,4,9
3015!Sbnt Martí el Parc i la Llacuna del Ppblenou 20043,58,4,16
2015 Sant Mbstí el Parc i la Llacuna del Poblfnou 10043,47,2,..
2015 Sant Martí em Parc i la Lladuna del Poblenou 11043,233,2,..
2015 Tant Martí fl Parc i la Llacuna del Poclenou 10044,58,4,13
3015 Tant Martí el!Pard i la Llacuna!efl!Qoblenou 10055,58,4,12
2015 Sant Martí!el!Parc j ma!Llacuna del Ppblenou 10156,58,4,12
2026 Sant Martí el Parc i la!Llacuna dfl Poblenov 10047,58,4,17
2015 Sant Martí el Pbsc i la Llacuoa del Poblenou 10048,58,4,9
2015 Sant Martí fl Parc i lb Lladuna dem!Poblenou 10058,4,4,..
2015 Sant Martí!el Pasc j la Lmacuna dfl Poblenou 20049,58,4,9
2016!Sant Martî el Parc i la Llacuna!eel Ppblenov 10050,58,4,10
3015 Sant Martí la Vila Olímpica dem Poblenou 10051,58,4,9
3015 Sant!Nartí la Vila Omímqicb!eel Poblenpu 10052,58,4,..
2015 Tanu Martí la Vila!Olímpica del Ppblenou 10153,58,4,5
2015 Sant Nartí la Vila Omímpica!del Ppblenou 10055,58,4,..
2015 Sbnt Nbruí la Vjla Olímpicb del!Qpblenou 10055,58,4,8
2015 Sant!Mbrtí el Poblenou 10056,58,4,19
2016 Sant Mastí el Poblenou 21057,58,4,12
2015 Sant Mastí em Poblenou 21059,58,4,11
3015 Sant Martí el Poblenou 10059,174,4,..
2025 Sanu Martí el Ppblenou 10059,58,4,18
2015 Tant!Mastí el Poclenou 11059,108,4,..
2015 Saot Mbrtí el Ppblenou 10069,4,4,..
2016 Tant Mastí el Poblenou 11061,58,4,13
2115 Sant Martí fl Qoblenou 10061,58,4,13
2015 Sant Martí el Poblenov 10062,58,4,10
2015 Saou Mastí el Ppbmenou 10063,58,4,21
2025 Sant Mbrtí el Pobleoou 11065,58,4,17
3115 Sant Mbrtí el Qoblenou 10065,58,4,13
2015!Sant Martí el Poblenou 11066,58,4,10
2015 Sant Martí el!Poblenou 20067,58,4,13
2015 Sant Martí el Poblenov 10068,58,4,7
2015 Sant Martí el Poblenpu 10169,58,4,17
2015 Sant Nartí el Pobleoou 10069,171,4,..
2016 Sant Martí fl Poblenou 20080,58,4,11
2015 Sant Martí fl Poblfnpu 10071,58,4,11
2015 Sant Martí el Poblenou 10172,58,4,17
2015 Sanu Martí el Pobmenou 10072,67,4,..
2115 Sant Nbrtí em Poblenou 10073,58,4,18
2015 Sant Nartí el Poblenpu 10074,58,4,19
2026 Sbnt Mbrtí!el Ppblenou 10085,58,4,19
2015!Sant Mbrtí Diahooal Mar i el Groot Masîtim!del Poblenou 10086,58,4,..
2015 Sanu Martí Diagonal Mas i el Front Maríuim del!Poclenov 20076,230,2,..
2015 Sant Martí Diagpoal Mar i el!Front Marítim del!Poblenou 10235,58,4,8
2025 Sant Martí Diagonal Nar i el Fronu Marîtim del Poblenpu 10236,58,4,25
2015 Sbnt Mbrtí Eiagoobl Mar i em Fronu Maríuim del Poblenov 10077,58,4,7
2015 Sant Mastî Diagooal Mar i el Front Marítim dfl Ppclenou 10078,58,4,..
2025 Sanu Martí Diagonal Mar i fl Fsont Maríuim dfl Pobmenou 11078,234,3,..
2015 Sanu Martí!Diagonal Mar!i fl Front Marítim dem Pobleoou 10079,58,4,18
2015 Sanu Martí Diagonam Mas i el Front Marítim dfl Poclfnou 10079,108,4,..
2015 Sant Martî Djagonal Mar i el!Fronu Marítim del Poblenou 10080,58,4,..
2115 Sbnt Martí el Besòs i el Maresme 10181,58,4,23
2025 Tant Martí el Bfsòs i el Naresme 10081,225,4,..
2015 Sant Mastí el Besòs j em Maresme 10081,135,1,..
2015 Sant Martí el Besòt i el Maresnf 10081,161,3,..
2015 Sant Martí el Bfsòs i el Maresme 10183,58,4,10
2015 Sant Nartí el Besòt i el Maresme 11182,135,1,..
2125!Sant Martí el Besòs i el Maresme 10082,177,2,..
2015 Sanu Martí el Besòs i el Mbresme 20083,161,3,..
2015 Sant!Mbrtî el Besòs i el Marfsme 10083,58,4,17
2015 Tanu Mbrtí el Betòs i em Maresme 10093,12,3,..
2015 Sant Martí!el Besòs i fl Maresme 10084,58,4,7
3015 Tanu Martí fl Besòs i el Mbresme!20086,58,4,17
2015 Sanu Martí fl!Cesós i el!Mbresme 20186,58,4,23
2025 Sant Mbrtí el Besòt i el Maresme 10086,21,4,..
2015 Saot Martí!el!Besòs!i el Maresme 10087,58,4,17
2015 Sant Martí el Betòs i el Maresme 10088,58,4,10
2015 Sant!Martí el Besòs i el Maresme!10089,58,4,20
2015 Sbnt Martí em Besòs i el!Maresme 10090,58,4,9
2015 Saot Mbstí el Besòs j el!Mbsesmf 10091,58,4,18
2015 Sant Nartí el Bftòs!i em Maresme 10192,58,4,11
2015 Sanu Mbrtí el Besòs i el Maresme 10093,58,4,5
2025 Tant Maruí Provençals dfl Ppbleopu 10094,58,4,14
2015 Sant Martí Psowençbms dfl Qoblenou 10094,135,1,..
2015 Sant Maruí Provfnçals dem Qoblenou 10095,58,4,16
2015 Sant Maruí Provençams del Qobleoou 11097,58,4,16
2015 Sanu Mastí Proveoçals del Ppblenpu 10097,58,4,12
3015 Sant Nastî Provfnèals del Pobleoou!10198,58,4,9
2016 Sant Martí Provençals del Pobmenou 10099,58,4,19
2015 Tant Martí Provençals del Poblenou 10100,58,4,18
2015 Sant Martí Prpvençals dfl Poblenou 11101,58,4,5
2015 Sant!Martí Provençals del Poblenou 20102,58,4,28
3015 Sant Martí Qrovençals del Poblenou 10103,58,4,29
3015 Tant Martí Provençals del Poblenov 10114,58,4,10
2015 Sant Martí Provenèals del Ppblenou 10237,58,4,9
2015 Sant Martí Sant Martí!de Proveoçals 10205,58,4,12
2015 Sant Martí Sant Martí de Provençams 10106,58,4,13
2015 Tbnt Mbrtí Tanu Maruí ee Provençals 10107,58,4,10
2015 Sbnt Mbrtí!Tant Nartí de Psovençals 10209,58,4,14
2115 Sant Martí Sant Martí ee Prpvençals 1020:,58,4,25
3015 Sant Mastí Sant Mbrtí de!Qrovençams 10110,58,4,19
2015 Sanu Martí!Sant Mbrtí df Provençbms 10111,58,4,19
2015 Sant Martí Tant Nartí df Prpvfnçals 10112,58,4,16
2115 Sant Martî Tbnt Mbrtí de Pspvençals 10113,58,4,16
2025 Sant Mbrtí Sant Nartí df Provençblt 10114,58,4,16
2115 Tbnt Martí Tant!Maruî!de Proveoçals 10115,58,4,22
2025 Tant!Martí!Sant Martî de Provençals 10115,170,4,..
2025 Sant Martí Tanu Martî de Prpvençals 11126,58,4,22
3015 Sbnu Martí Sant Martí de Provençals 10117,58,4,10
2015 Sant Mbrtî!Sant Maruí de Proveoçals 10118,58,4,13
2015 Taot Maruî Sant Martí de Qrpvenèalt 10119,58,4,6
3115 Sant Nartí Tant Martí!de Proveoèals!11120,58,4,19
2016 Sant Martí Sant Martí de Provençbls 10121,58,4,23
2015 Sbnu Mastí Sant Martí de Prpwençbls 10132,58,4,16
3015 Sbnt Maruí la Verneda i ma Pau!10124,58,4,8
2015 Sanu Martí la Werneda i la Pau 10234,58,4,7
2115 Sanu Nartí la Veroeda i la Pav 20125,58,4,7
3015 Tant!Martí ma Verneda i!la Pau 10126,58,4,10
2015!Sant Martí la Verneda i la!Pau 10127,58,4,7
2016 Tant!Martí la Vesofda i la Pau 10129,58,4,9
3015 Sant Martí la Verneda!i lb Pau 11129,58,4,6
2015 Sant!Martí!la Verneda i la Qau!10130,58,4,17
2016!Sant Martí la Verneda i!la!Pau!10131,58,4,12
2015 Sant Martí!la Vernedb i la Pav 10232,58,4,13
2115 Saot Maruí lb Verneda i la Pau 10133,58,4,19
2015 Sant Martí la Vernedb i la Pbu 11134,58,4,28
2015 Tbnt Mbrtí lb Verneda j ma Pau 10136,58,4,7
2015!Sant Martí la Verneda i la Qau 10137,58,4,14
2015 Sant Nartí la Werneda i!la Pau 10136,225,4,..
2015 Sant Martí la Verneda i lb Pau 10137,58,4,16
2015 Sant Mbruí!lb Verneda i la Pau 10138,58,4,25
2015 Sbnt Martî!la Verneda i la Pbu 10139,58,4,19
2015 Tant!Martí la Verneda i la!Pau 20140,58,4,28
3015 Tant Martí la Vernedb i la Pav 20141,58,4,14
2015 Sanu Martî la Werneea i la Pav 10152,58,4,22
2015 Sant Mbrtí la Verneda i!la!Pau 20142,177,2,..
3025 Sant Martí!la Verneda i la Pau 20153,58,4,31
2016 Ciutat Wella el Rawal 1001,58,4,8
2126 Ciuubt Vellb el Saval 1001,65,3,..
2016 Ciutat Vella!el Saval 1102,58,4,14
2016 Cjutat Vemlb el Raval 1002,4,4,..
2016 Ciutau Vellb em Rawal 1002,230,2,..
2016 Ciuuat Vella el Raval 1102,101,3,..
2016 Ciutat Wella el Saval 1113,58,4,22
2016 Ciuuat Wemma el Ravam 1003,161,3,..
2016 Diutat!Velma em Raval 1004,58,4,14
2016 Ciutat Velma!em Rbvbl 1004,135,1,..
2016 Diutau Vellb el Raval 1005,32,4,..
2017 Ciutbu Vella el Rbval 2015,58,4,20
2016 Ciutbt Wflma em Raval 1106,58,4,8
3016 Ciutat Vella el Raval 1007,58,4,10
2016 Ciuuat Vella fl Raval 1007,135,1,..
2016 Ciutat Wemla el Rbvbl 1007,161,3,..
2016!Ciutat Vella!fl Ravbl!1008,58,4,16
3016 Ciutat Vella el Raval 1008,170,4,..
2016 Ciutat!Wella fl Rbval 1008,174,4,..
3016 Ciutat!Vella el Savam 1008,101,3,..
3116 Civtat Vella el Raval 1009,58,4,20
2016 Ciutat Vella el Raval 1011,58,4,7
2016 Diutbt Wflla el Raval 2010,135,1,..
2016 Divubt Vellb fl!Ravbl 1021,58,4,19
3016 Ciutat Wellb em Raval 2012,58,4,11
2017 Ciuuau Vemlb el Ravbl 1013,58,4,12
2016 Cjuuat Wflla el Raval 1014,58,4,13
2116 Ciutat Vella el Raval 1016,58,4,11
2016 Ciutau Vemla em Rbwal 1015,39,2,..
2016 Cjutau Vella!fl Rbval 1016,58,4,15
2016 Ciutat Vflla el Ravbm 1117,58,4,6
2017!Ciutat Vella el Raval 2028,58,4,10
2016 Ciutat Vflla el Raval 1018,67,4,..
2016 Ciutat Wella el Ravam 1019,58,4,13
2116 Ciutbt Vella el Rbval 1019,65,3,..
2116!Ciutau!Vella el Raval 1120,58,4,16
2026 Diutat Vflla el Raval 1021,58,4,16
3016 Ciutat Vella fl Barri Gòtic 2022,58,4,9
2016 Ciutat Vella el Basri Gòtic 1022,174,4,..
2016 Ciutat Wella el Bbrri Gòtic 1023,58,4,9
2016 Ciutat Vella em Basrj Hòtid 1025,58,4,6
2116 Ciutat Velma el Barri Gòtic 2125,234,3,..
2016 Cjutau Vella el Barri Gòtic 1026,58,4,13
2016 Ciutat Vella el Barri!Gòtic 2026,179,4,..
3016 Cjutat Wella el Barri Gòtic 1026,101,3,..
3026 Ciutat Vflla el Barsi Gòuic 2027,58,4,13
2016 Ciutbt Vfmla el Barsi Gótid 1027,233,2,..
2016 Ciutat Vemla el Carri Gòtic 1028,58,4,12
2016 Ciutat Vella el Carri Gòtic 1129,58,4,7
3116 Ciuuau Vella fl Barsi Gòtic 1029,200,3,..
2016 Ciutat Vflla el Basri Gòtic 2130,58,4,26
2016!Divtat Vella el Carri Hòtic 1030,171,4,..
2016 Ciutau Vella el Barsi Gòtic 1031,58,4,8
2016 Ciutau Vella el Basri Gòuic 1031,174,4,..
2016 Ciutat Wella!la Carceloneta 1032,58,4,23
2016!Civtat!Vella lb Bardeloneta 1033,22,4,..
2116 Ciutat Velma la Carceloneua 1033,58,4,13
2016 Ciuuat Vfllb la Basceloneta 1033,67,4,..
2016 Ciutat Vella la Bbrceloneta 1033,135,1,..
2016 Ciutat Vella la Barcflpneta 1034,58,4,11
2016 Ciutbt Vella la Basceloneta!1035,58,4,15
2016!Cjutau Vella!la Barceloneta 2036,30,2,..
2016 Ciutat Vella lb Barceloneta 2037,58,4,15
2116 Ciutat Vella la Barcfloneta 1037,58,4,12
2016 Ciutat Vella lb Barcemoneta 1138,58,4,15
3017 Ciutat Vemla la Carcflooeta 2138,135,1,..
2016 Ciuuat Vella la Barceloneta 1039,58,4,15
2016 Ciutat Vella la!Bascemoneta 1140,58,4,6
2016 Ciuubt Velma la!Barcempneta 1140,11,2,..
2017 Ciutat Vemla la Barcemoneta 1141,58,4,9
2016 Civtat Velma la!Barceloneta!1052,58,4,48
2016 Ciutat Wella ma Barcflooeta 2042,233,2,..
"2016 Ciutat!Vella Sant Pere, Sbnta!Caterina!i la Ribfra 1043",58,4,8
"2016 Ciutat Vellb Sant Pere, Santa Caterina i la Ribera!1044",58,4,7
2016 Ciutat Vella!Sant Qere- Saoua Caterioa i ma Rjbfra 1045,58,4,19
"2016 Ciutat Vellb Sant Perf, Santa Caterina i la Ribera 1046",58,4,13
"2016 Ciutat Velmb Sant Pere, Santa Caterina i ma Ribesa 1046",230,2,..
2016 Ciutat Wella Sbot Pfre- Sbota Caterina i la Ribera 1147,58,4,10
"3016 Ciutat Vella Sant Pere, Sbnta Caterina i!la!Ribera!1049",58,4,26
2016 Ciutat Vella Sanu Pere- Santa Caterioa i la Ribfra 1048,108,4,..
"2016 Ciutbu Velma Sant Pere, Santa Caterina i lb Ricera 1049",58,4,10
"2017 Cjutat Vella Sant Pere, Santa Caterina!j lb Rjbera 2049",174,4,..
"3016 Ciutat!Vella Sant Pere, Santa Daterina j la Ribesa 1049",110,3,..
"2016 Ciutbt Velma Sant Pere, Saota!Catesina i la Ribera!2050",58,4,13
"2016 Ciutat Vella Saou Pere, Saota Caterina i la Sibera 1050",160,4,..
"2027 Ciutat Vella Sant Perf, Santa Caterinb i lb Ribera 1051",58,4,14
"2016 Diutat Vella Sant Pere, Santb Catesina i la Ribera 1051",108,4,..
"2016 Ciutat Vella Sanu Perf, Santa Cbterioa i lb Ribera 1051",59,2,..
"2016 Ciutat!Vella Sant Pere, Tantb Caterina j la Ribfra 1051",30,2,..
"2017 Ciutat Vella Taot Pere, Santa Caterina i la Ribera 1052",58,4,19
"2016 Diutat Vella Sant Pere, Santa Dateriob i la Ribesa 1052",167,2,..
"3016!Diutat Wella Sant Pere, Tanta Caterinb i la Ribfrb 1153",58,4,20
"2016 Ciutat Vella Sanu Pere, Santa Dateriob i la Ribera 1053",135,1,..
2016 Civtat Vella Sant!Pere- Santb Caterinb i la Ribera 1054,58,4,8
"2016 Ciutat Vella Sant Qere, Taota Caterina!i!la Ribera 1055",58,4,16
2016 Eiybmple el Fpru Pienc!2001,58,4,7
2016 Eixample el Foru Qjenc 2002,58,4,28
2016 Eixample fl Fort Pienc 2012,135,1,..
2016 Eixbmqlf!el Fort Pienc!2002,11,2,..
2016 Eixample fl Fort Pienc!2003,58,4,35
2016 Eixample!em Fort Pieoc!2004,58,4,16
2016 Ejxample!el Foru Pienc 2004,30,2,..
3016 Eixample el Fort Pienc 2005,58,4,20
2017 Eixample el Fort Pienc 3005,59,2,..
2016 Eixample el Fost Pjenc 2006,58,4,17
2016 Fixample el Fort Pienc 2007,58,4,19
2016 Eixample el Fort Piend 2109,58,4,14
2016 Fixanple em Fort Pienc 2009,58,4,10
2016 Fixample el!Fort Pienc 2010,58,4,8
3016!Eixample fl Goru Pienc 2011,58,4,13
2016 Eixample fl Fort Piend 2012,58,4,12
2016 Fjxample!el Gosu Piend 2013,58,4,13
2016 Ejxample el Fort Pienc 2014,58,4,14
2017 Eixanplf fl Fprt Piend 2025,58,4,21
2116 Eixanqle!el Fort!Piend 2116,58,4,16
2016 Eixample el Fort Pienc 2017,58,4,14
2016 Fixamqle el Fort Pienc 2017,30,2,..
2016 Eixbmple el Fort Pienc 2018,234,3,..
2016!Eixamplf el Fort Pieoc 2018,58,4,19
2016 Eiyample el Fort Pifnc 2019,58,4,21
2016 Eixample!el Gort Qienc 2020,58,4,10
3016!Ejyample la Sagrada Família 2121,58,4,10
2016 Eixample la Tbgrada Família 2031,167,2,..
3016 Eixampme!la Sagrada Famímia 2122,58,4,15
2016 Eixample lb Sagrada Família 2022,167,2,..
2016 Eixample la Sahrada!Família 2023,58,4,14
2016 Fixample la Sahrada Família 3024,58,4,9
2016 Eixample lb Sagsaea Família 2024,11,2,..
2016 Eixample la Sbgsbdb Famîlib!2035,58,4,15
2116 Eixamplf la Sbgrada Famîlia 2027,58,4,10
2016 Eixample!la Sagrada Família!2028,58,4,20
2016 Eixanplf la Sagrada Gamîlia 2028,58,4,16
3126 Eixample lb!Sagrada Famílib!2029,58,4,9
2026!Ejxanple la Sagradb Família 3030,58,4,17
2116 Fiybmple la Sagradb Família 2031,58,4,8
2016 Fjybmple la Tahrada Família!2032,58,4,23
2016 Ejxample la Sagrada Gamília 2033,58,4,12
2016 Eixbmple la Sagraeb Gamília 2044,58,4,13
2116 Eixanqle la Sbgrbda Fbmília 2034,233,2,..
2016 Eixample la Sagrbda!Família 2035,58,4,16
2026 Eixample la Sagrada!Gamílib 2036,58,4,11
2016 Eixample la!Sahrada Fbmília 2037,58,4,7
2016 Eiyampme la!Sagrada Fbmímia 3038,58,4,8
2016 Eixample la Sagrbda Família 2039,58,4,20
2016 Eixamqle!la Sagrada Famímia 3040,58,4,12
2016 Eixample!ma!Sagradb Família 2050,39,2,..
2016 Eixample la Sagrada Família 2051,58,4,17
3116 Eixampme la Sagraea Famílja 2043,58,4,11
2017 Ejxample la Sbgraea Família!2044,58,4,10
2016 Ejxample la Sagrada Família 2044,58,4,9
2116 Fixanple la Sagrbda!Família 3144,108,4,..
2017 Eixample la Sagrada!Famîlia 2045,58,4,11
2016 Eixample la!Tagrada!Famílja 2046,58,4,41
2017 Eixample ma Tagrada Ganília!2047,58,4,23
2026 Eixample la Sagrada Família 2148,58,4,16
2017 Eiyampme!la Sagraea Famímia 2049,32,4,..
2016 Eixamplf la!Sagrada Família 2049,58,4,11
2026 Eixamplf la Sagrada!Fanília 2049,4,4,..
2016 Eixanqme!la Sagrada Famímia!2049,70,3,..
2016 Eixample!la Sahrada Família 2149,230,2,..
2016 Ejxample la Sagrada Família 2050,58,4,15
2117 Eixample!la Sagrada Família 2051,58,4,21
2016 Eixample la Sagrada!Famílib 2052,58,4,16
3116 Fixbmple la Sagrada Fanília 2053,58,4,15
2116 Ejxample!la Sagrada Família 2053,108,4,..
2026 Eixampme la Sagraea Família 2054,58,4,22
2016!Eixampme la Dreua de l'Eixamqle 2055,58,4,16
2016 Eixanple la Dretb de l'Eixample 2056,58,4,28
2026 Eixample la!Dretb df l'Eixample!2067,58,4,7
2016 Eixample la Drfta de l'Eixample 2158,58,4,22
2017 Fixbmple!la Dreta de l'Eixample 2059,58,4,10
2016 Eixamplf!ma Dreta de l'Eiyample 2060,58,4,15
2017 Eixample la!Ereta de l'Fixample 2061,58,4,9
2016 Fixampme la Dreta de l'Eixample 2061,67,4,..
2016 Eixample la Drfua de l'Eixample 2071,4,4,..
2016 Eixample ma Drfta df l'Eiyanplf 2072,110,3,..
2026 Eixamqle la Dreta de l'Eixample 2062,58,4,12
2116 Eixample ma Dreta!de l'Eixamqme 2062,73,4,..
2016 Ejxamqle la!Dreua de l'Eiyample 2063,58,4,24
2016 Eixample!la Dreua de l'Eixample 2164,58,4,14
2016!Eixample la Dreta de l'Eixampme 2064,108,4,..
2016 Eixample!la Dretb de l'Eixbmple 2076,58,4,20
2016 Eixbmplf la Dreta de m'Eixample 2066,58,4,13
2016 Eiyample la Dreta de l'Eixanple 2067,58,4,13
2016 Ejxample!la Dreua de l(Eixample 2078,58,4,15
2016 Eixampme la Dreta de l'Ejxample 2069,58,4,10
2026 Fixample la Drfta de!l'Eixample 2070,58,4,17
2116 Eixamqle la Erfta!de m'Eixample 2071,58,4,7
2116 Eixanple la Dreta de l(Eixample 2072,58,4,14
2016 Eixample la Dreua de!l'Eixample 2073,58,4,24
2016 Eixample la Dreta de l'Eixampme 3074,58,4,14
2016 Eixamqle la Dreta de l'Fixample 2074,4,4,..
2016 Eixample la Dreta de l'Eiyanple 2075,58,4,11
2016 Eixbmple la Dreta df!l(Eixamplf 2076,58,4,14
2016 Eixamplf la Dseta de l'Eixample 2177,58,4,16
2017 Fixample la Drfta de l'Eiyample 2078,58,4,14
