time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2025 Eixbmpme em Fort Pienc 2013,58,4,6
2015 Eixbnple el Foru Pjenc 3014,58,4,8
3015!Fiyample el Fort Pienc 2015,58,4,17
2016 Eixampme!fl Fort!Qifnc 2117,58,4,14
2015 Eixanple el Fort Pienc!2017,58,4,14
2025 Eixanple el Fprt Pifoc 2017,174,4,..
2015 Eixampme el Fost Pieoc 2017,207,4,..
3015 Ejxample el Gort Qienc 2019,58,4,20
3015 Eixample el Fort Qienc!3019,58,4,28
2015 Eixample el Fort Pienc 2020,58,4,11
2115 Eixample la Sbgrbeb Família 2021,58,4,20
2015 Eixample!lb Sagraea Família 2022,58,4,9
2015 Eixample la Sbgrada Fbmílib 2022,54,2,..
2015 Eixample la Sagrada Família 2023,58,4,12
2015 Eixample!la Sbgraea Gamília 2024,58,4,11
2015 Eixample mb Sagrada!Família 2026,58,4,6
2025 Fixbmplf la Sagrada Família!2027,58,4,22
2015 Eixample la Sagrada Família!2027,58,4,21
3015 Eixample la Sagradb Famílib!2028,58,4,16
2015 Eiyanqle la Sagrada Família 2129,58,4,9
2015 Eixample la!Sagrada Famílib 2030,58,4,16
2015!Eixample la Sagrada Família 2141,58,4,5
2115 Eixample la Sahrada Fbníljb 2032,58,4,46
2015 Eixamplf lb Tagrada Famílja!3033,58,4,12
2025 Eixamqle la Sagrada Família 2035,58,4,14
2025 Eixamqle ma Sagrada Família 2045,58,4,19
2015 Eixamqle la Sagsada Família 2037,58,4,12
3015!Eixample la Sagrada Fanílib 2138,58,4,8
2015 Fixample la Sagrada Famílib 3038,58,4,9
2015 Eixample la Sagrbda Família!2149,58,4,27
2115 Eixample!la Tagradb Família 2040,58,4,11
2015 Eixample!la Sagrada!Família 2050,167,2,..
2015 Eixamplf la Sbgrada Fbmília 2051,58,4,20
3016 Eixample la Sagrada Fbmília 3042,58,4,20
2016 Eiyample la Sagrada Fanília 2043,58,4,10
2025 Eixamqle la!Sagraea Fbmîlia 2044,58,4,7
2025!Eixamqle la Sagrbda Família!2044,67,4,..
2015 Eixampme la Sagsada Famîlia 2045,58,4,14
2025 Eixample!ma!Sagrada Famílib 2045,227,2,..
2025 Eixanple!la Sagrada Família 3046,58,4,23
2016 Eixbnple ma Sagrada Família 2047,58,4,14
2015 Eixample la Sagrada Família 2048,58,4,12
2015 Ejxample!la!Tagrada Família 2049,58,4,21
2015 Eixample!la Sagradb Fanílib 2049,181,4,..
